game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Larry Nance Jr.,Bam Adebayo,,,,,,,Bam Adebayo,,Kelly Olynyk,,,,jump ball,,,,,,Jump Ball Adebayo vs. Nance Jr.: Tip to Olynyk
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,0,2,00:11:52,00:00:08,00:00:08,7,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,Jump Bank Shot,3,-28,16,22.2,87.4,Adebayo 3' Jump Bank Shot (2 PTS)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,3,2,00:11:41,00:00:19,00:00:11,8,CLE,shot,Collin Sexton,,,,,,,,,Kevin Love,3,,,made,,Jump Shot,25,-75,234,32.5,28.4,Love 25' 3PT Jump Shot (3 PTS) (Sexton 1 AST)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,3,5,00:11:21,00:00:39,00:00:20,10,MIA,shot,Dion Waiters,,,,,,,,,Kelly Olynyk,3,,,made,,Step Back Jump Shot,26,167,193,41.7,69.7,Olynyk 26' 3PT Step Back Jump Shot (3 PTS) (Waiters 1 AST)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,5,5,00:10:58,00:01:02,00:00:23,12,CLE,shot,,,,,,,,,,Kevin Love,2,,,made,,Jump Shot,21,-147,151,39.7,20.1,Love 21' Jump Shot (5 PTS)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,5,5,00:10:41,00:01:19,00:00:17,13,CLE,foul,,,,,,,,Bam Adebayo,,Kevin Love,,,p.foul,,,p.foul,,,,,,Love P.FOUL (P1.T1) (S.Twardoski)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,5,7,00:10:31,00:01:29,00:00:10,15,MIA,shot,Josh Richardson,,,,,,,,,Justise Winslow,2,,,made,,unknown,4,-27,29,22.3,86.1,Winslow 4' Driving Layup (2 PTS) (Richardson 1 AST)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,7,00:10:17,00:01:43,00:00:14,16,CLE,shot,Collin Sexton,,,,,,,,,Kevin Love,3,,,made,,Jump Shot,26,13,257,23.7,30.7,Love 26' 3PT Jump Shot (8 PTS) (Sexton 2 AST)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,7,00:09:51,00:02:09,00:00:26,18,CLE,foul,,,,,,,,Bam Adebayo,,Brandon Knight,,,s.foul,,,s.foul,,,,,,Knight S.FOUL (P1.T2) (S.Twardoski)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,7,00:09:51,00:02:09,00:00:00,20,MIA,free throw,,,,,,,1,,2,Bam Adebayo,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Adebayo Free Throw 1 of 2
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,7,00:09:51,00:02:09,00:00:00,21,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HEAT Rebound
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:09:51,00:02:09,00:00:00,22,MIA,free throw,,,,,,,2,,2,Bam Adebayo,1,,,made,,Free Throw 2 of 2,,,,,,Adebayo Free Throw 2 of 2 (3 PTS)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:09:32,00:02:28,00:00:19,23,CLE,turnover,,,,,,,,,,Collin Sexton,,,,,,unknown,,,,,,Sexton Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:09:17,00:02:43,00:00:15,24,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Pullup Jump Shot,17,107,131,35.7,75.9,MISS Richardson 17' Pullup Jump Shot
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:09:15,00:02:45,00:00:02,25,CLE,rebound,,,,,,,,,,Brandon Knight,,,,,,rebound defensive,,,,,,Knight REBOUND (Off:0 Def:1)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:09:04,00:02:56,00:00:11,26,CLE,turnover,,,,,,,,,,Cedi Osman,,,,,,unknown,,,,,,Osman Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:08:53,00:03:07,00:00:11,27,MIA,miss,,,,,,,,,,Kelly Olynyk,0,,,missed,,Jump Shot,20,101,167,35.1,72.3,MISS Olynyk 20' Jump Shot
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:08:51,00:03:09,00:00:02,28,CLE,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:1)
"=""0021800979""",2018-2019 Regular Season,2019-03-08,Cedi Osman,Kevin Love,Larry Nance Jr.,Brandon Knight,Collin Sexton,Josh Richardson,Kelly Olynyk,Bam Adebayo,Dion Waiters,Justise Winslow,1,8,8,00:08:34,00:03:26,00:00:17,29,CLE,turnover,,,,,,,,,,Collin Sexton,,,bad pass ,,Justise Winslow,bad pass ,,,,,,"Sexton Bad Pass Turnover (P2.T3), Winslow STEAL (1 STL)"
