game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Andre Drummond,Robin Lopez,,,,,,,Robin Lopez,,Bruce Brown,,,,jump ball,,,,,,Jump Ball Lopez vs. Drummond: Tip to Brown
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:11:36,00:00:24,00:00:24,7,DET,shot,,,,,,,,,,Reggie Jackson,3,,,made,,Jump Shot,22,221,-9,2.9,4.1,Jackson  3PT Jump Shot (3 PTS)
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,3,0,00:11:14,00:00:46,00:00:22,8,CHI,turnover,,,,,,,,,,Otto Porter Jr.,,,bad pass ,,Andre Drummond,bad pass ,,,,,,"Drummond STEAL (1 STL), Porter Jr. Bad Pass Turnover (P1.T1)"
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,0,00:11:05,00:00:55,00:00:09,10,DET,shot,Wayne Ellington,,,,,,,,,Bruce Brown,2,,,made,,Driving Finger Roll Layup,2,2,15,24.8,6.5,Brown 2' Driving Finger Roll Layup (2 PTS) (Ellington 1 AST)
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,5,2,00:10:46,00:01:14,00:00:19,11,CHI,shot,Otto Porter Jr.,,,,,,,,,Robin Lopez,2,,,made,,unknown,1,14,1,26.4,88.9,Lopez 1' Cutting Layup Shot (2 PTS) (Porter Jr. 1 AST)
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:36,00:01:24,00:00:10,13,DET,shot,Reggie Jackson,,,,,,,,,Andre Drummond,2,,,made,,Jump Shot,12,-115,44,36.5,9.4,Drummond 12' Jump Shot (2 PTS) (Jackson 1 AST)
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:24,00:01:36,00:00:12,16,DET,foul,,,,,,,,Zach LaVine,,Andre Drummond,,,s.foul,,,s.foul,,,,,,Drummond S.FOUL (P1.T1) (T.Brown)
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:24,00:01:36,00:00:00,18,CHI,free throw,,,,,,,1,,2,Zach LaVine,0,,,missed,,Free Throw 1 of 2,,,,,,MISS LaVine Free Throw 1 of 2
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:24,00:01:36,00:00:00,19,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BULLS Rebound
"=""0021800980""",2018-2019 Regular Season,2019-03-08,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Zach LaVine,Kris Dunn,1,7,2,00:10:24,00:01:36,00:00:00,20,CHI,free throw,,,,,,,2,,2,Zach LaVine,0,,,missed,,Free Throw 2 of 2,,,,,,MISS LaVine Free Throw 2 of 2
