game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Rudy Gobert,Jonas Valanciunas,,,,,,,Jonas Valanciunas,,Justin Holiday,,,,jump ball,,,,,,Jump Ball Valanciunas vs. Gobert: Tip to Holiday
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:11:42,00:00:18,00:00:18,7,MEM,miss,,,,Rudy Gobert,,,,,,Jonas Valanciunas,0,,,missed,,Turnaround Hook Shot,3,14,32,26.4,85.8,"Gobert BLOCK (1 BLK), MISS Valanciunas 3' Turnaround Hook Shot"
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:11:38,00:00:22,00:00:04,9,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound defensive,,,,,,O'Neale REBOUND (Off:0 Def:1)
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:11:35,00:00:25,00:00:03,10,MEM,foul,,,,,,,,Donovan Mitchell,,Justin Holiday,,,p.foul,,,p.foul,,,,,,Holiday P.FOUL (P1.T1) (L.Richardson)
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:11:29,00:00:31,00:00:06,12,UTA,miss,,,,Justin Holiday,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,-172,176,42.2,22.6,"MISS Ingles 25' 3PT Jump Shot, Holiday BLOCK (1 BLK)"
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,0,00:11:26,00:00:34,00:00:03,14,MEM,rebound,,,,,,,,,,Joakim Noah,,,,,,rebound defensive,,,,,,Noah REBOUND (Off:0 Def:1)
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,3,00:11:23,00:00:37,00:00:03,15,MEM,shot,Mike Conley,,,,,,,,,Justin Holiday,3,,,made,,Jump Shot,24,236,-5,48.6,89.5,Holiday 24' 3PT Jump Shot (3 PTS) (Conley 1 AST)
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,3,00:10:55,00:01:05,00:00:28,17,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,-131,210,38.1,26.0,MISS Ingles 25' 3PT Jump Shot
"=""0021800982""",2018-2019 Regular Season,2019-03-08,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Justin Holiday,Joakim Noah,Jonas Valanciunas,Avery Bradley,Mike Conley,1,0,3,00:10:52,00:01:08,00:00:03,18,MEM,rebound,,,,,,,,,,Jonas Valanciunas,,,,,,rebound defensive,,,,,,Valanciunas REBOUND (Off:0 Def:1)
