game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Nikola Jokic,DeMarcus Cousins,,,,,,,DeMarcus Cousins,,Stephen Curry,,,,jump ball,,,,,,Jump Ball Cousins vs. Jokic: Tip to Curry
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:46,00:00:14,00:00:14,7,GSW,shot,Draymond Green,,,,,,,,,Kevin Durant,2,,,made,,Pullup Jump Shot,14,65,126,31.5,76.4,Durant 14' Pullup Jump Shot (2 PTS) (Green 1 AST)
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:29,00:00:31,00:00:17,9,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,unknown,11,-109,8,35.9,5.8,MISS Jokic 11' Driving Floating Jump Shot
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:28,00:00:32,00:00:01,10,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:19,00:00:41,00:00:09,11,GSW,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,28,-72,268,17.8,62.2,MISS Cousins 28' 3PT Jump Shot
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:17,00:00:43,00:00:02,12,DEN,rebound,,,,,,,,,,Will Barton,,,,,,rebound defensive,,,,,,Barton REBOUND (Off:0 Def:1)
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:06,00:00:54,00:00:11,13,GSW,foul,,,,,,,,Nikola Jokic,,Kevin Durant,,,p.foul,,,p.foul,,,,,,Durant P.FOUL (P1.T1) (S.Foster)
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:11:00,00:01:00,00:00:06,15,DEN,miss,,,,,,,,,,Gary Harris,0,,,missed,,unknown,6,27,53,22.3,10.3,MISS Harris 6' Driving Layup
"=""0021800984""",2018-2019 Regular Season,2019-03-08,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,2,00:10:58,00:01:02,00:00:02,16,GSW,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
