game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,,jump ball,,Willie Cauley-Stein,DeAndre Jordan,,,,,,,DeAndre Jordan,,,,,,jump ball,,,,,,Jump Ball Jordan vs. Cauley-Stein: Tip to
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:38,00:00:22,00:00:22,7,NYK,shot,,,,,,,,,,Lance Thomas,2,,,made,,unknown,2,18,10,26.8,88.0,Thomas 2' Driving Layup (2 PTS)
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:22,00:00:38,00:00:16,8,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Step Back Jump Shot,26,150,209,10.0,25.9,MISS Hield 26' 3PT Step Back Jump Shot
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,2,00:11:19,00:00:41,00:00:03,9,NYK,rebound,,,,,,,,,,Dennis Smith Jr.,,,,,,rebound defensive,,,,,,Smith Jr. REBOUND (Off:0 Def:1)
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,5,00:11:12,00:00:48,00:00:07,10,NYK,shot,Dennis Smith Jr.,,,,,,,,,Kevin Knox,3,,,made,,Jump Shot,26,145,221,39.5,66.9,Knox 26' 3PT Jump Shot (3 PTS) (Smith Jr. 1 AST)
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,5,00:11:11,00:00:49,00:00:01,12,SAC,miss,,,,,,,,,,Bogdan Bogdanovic,0,,,missed,,Jump Shot,24,-206,131,45.6,18.1,MISS Bogdanovic 24' 3PT Jump Shot
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,5,00:11:00,00:01:00,00:00:11,13,NYK,rebound,,,,,,,,,,Damyean Dotson,,,,,,rebound defensive,,,,,,Dotson REBOUND (Off:0 Def:1)
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,7,00:10:43,00:01:17,00:00:17,14,NYK,shot,Kevin Knox,,,,,,,,,DeAndre Jordan,2,,,made,,unknown,1,6,12,25.6,87.8,Jordan 1' Cutting Layup Shot (2 PTS) (Knox 1 AST)
"=""0021800986""",2018-2019 Regular Season,2019-03-09,Harrison Barnes,Bogdan Bogdanovic,Willie Cauley-Stein,De'Aaron Fox,Buddy Hield,Kevin Knox,Lance Thomas,DeAndre Jordan,Damyean Dotson,Dennis Smith Jr.,1,0,7,00:10:25,00:01:35,00:00:18,16,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Fadeaway Jumper,14,-134,22,38.4,7.2,MISS Hield 14' Fadeaway Jumper
