game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Alex Len,,,,,,,Alex Len,,D'Angelo Russell,,,,jump ball,,,,,,Jump Ball Len vs. Allen: Tip to Russell
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:44,00:00:16,00:00:16,7,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Jump Shot,25,14,251,23.6,30.1,MISS Russell 25' 3PT Jump Shot
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:41,00:00:19,00:00:03,8,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,2,00:11:35,00:00:25,00:00:06,9,ATL,shot,Taurean Prince,,,,,,,,,Alex Len,2,,,made,,unknown,1,-4,13,24.6,87.7,Len 1' Cutting Dunk Shot (2 PTS) (Prince 1 AST)
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,2,00:11:25,00:00:35,00:00:10,11,BKN,miss,,,,,,,,,,Joe Harris,0,,,missed,,Jump Shot,25,3,246,24.7,29.6,MISS Harris 25' 3PT Jump Shot
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,2,00:11:23,00:00:37,00:00:02,12,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:1)
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,4,00:11:11,00:00:49,00:00:12,13,ATL,shot,Trae Young,,,,,,,,,John Collins,2,,,made,,Dunk,1,-2,8,24.8,88.2,Collins 1' Dunk (2 PTS) (Young 1 AST)
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,4,00:10:51,00:01:09,00:00:20,15,BKN,miss,,,,,,,,,,Joe Harris,0,,,missed,,Jump Shot,25,96,235,15.4,28.5,MISS Harris 25' 3PT Jump Shot
"=""0021800987""",2018-2019 Regular Season,2019-03-09,Joe Harris,Rodions Kurucs,Jarrett Allen,Allen Crabbe,D'Angelo Russell,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,4,00:10:49,00:01:11,00:00:02,16,ATL,rebound,,,,,,,,,,Alex Len,,,,,,rebound defensive,,,,,,Len REBOUND (Off:0 Def:1)
