game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Al Horford,JaVale McGee,,,,,,,JaVale McGee,,Moritz Wagner,,,,jump ball,,,,,,Jump Ball McGee vs. Horford: Tip to Wagner
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:41,00:00:19,00:00:19,7,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Pullup Jump Shot,16,-103,128,14.7,76.2,MISS Caldwell-Pope 16' Pullup Jump Shot
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:36,00:00:24,00:00:05,8,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,2,0,00:11:19,00:00:41,00:00:17,9,BOS,shot,,,,,,,,,,Al Horford,2,,,made,,Hook Shot,4,-8,40,25.8,9.0,Horford 4' Hook Shot (2 PTS)
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,2,0,00:11:04,00:00:56,00:00:15,10,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,26,117,232,36.7,65.8,MISS Caldwell-Pope 26' 3PT Jump Shot
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,2,0,00:11:01,00:00:59,00:00:03,11,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,4,0,00:10:51,00:01:09,00:00:10,12,BOS,shot,Marcus Smart,,,,,,,,,Al Horford,2,,,made,,Jump Shot,15,-147,24,39.7,7.4,Horford 15' Jump Shot (4 PTS) (Smart 1 AST)
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,4,2,00:10:32,00:01:28,00:00:19,14,LAL,shot,Moritz Wagner,,,,,,,,,Kentavious Caldwell-Pope,2,,,made,,unknown,2,16,8,26.6,88.2,Caldwell-Pope 2' Driving Layup (2 PTS) (Wagner 1 AST)
"=""0021800989""",2018-2019 Regular Season,2019-03-09,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,LeBron James,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,4,2,00:10:13,00:01:47,00:00:19,16,BOS,turnover,,,,,,,,,,Al Horford,,,lost ball ,,Rajon Rondo,lost ball ,,,,,,"Horford Lost Ball Turnover (P1.T1), Rondo STEAL (1 STL)"
