game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Cody Zeller,Brook Lopez,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Lopez vs. Zeller: Tip to Antetokounmpo
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:44,00:00:16,00:00:16,7,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,12,-81,90,16.9,80.0,MISS Bledsoe 12' Jump Shot
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:42,00:00:18,00:00:02,8,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:39,00:00:21,00:00:03,9,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Malcolm Brogdon,3,,,made,,Jump Shot,27,159,220,40.9,67.0,Brogdon 27' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST)
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:30,00:00:30,00:00:09,11,MIL,violation,,,,,,,,,,Brook Lopez,,,,,,violation:kicked ball,,,,,,Lopez Violation:Kicked Ball (C.Blair)
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:24,00:00:36,00:00:06,12,CHA,miss,,,,,,,,,,Cody Zeller,0,,,missed,,Jump Shot,19,84,165,16.6,21.5,MISS Zeller 19' Jump Shot
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:21,00:00:39,00:00:03,13,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:1)
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:15,00:00:45,00:00:06,14,MIL,miss,,,,,,,,,,Malcolm Brogdon,0,,,missed,,Jump Shot,27,154,222,40.4,66.8,MISS Brogdon 27' 3PT Jump Shot
"=""0021800990""",2018-2019 Regular Season,2019-03-09,Miles Bridges,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,3,00:11:11,00:00:49,00:00:04,15,CHA,rebound,,,,,,,,,,Marvin Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
