game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Robin Lopez,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Lopez: Tip to Griffin
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:40,00:00:20,00:00:20,7,DET,shot,Wayne Ellington,,,,,,,,,Blake Griffin,2,,,made,,Layup,3,-22,15,22.8,87.5,Griffin 3' Layup (2 PTS) (Ellington 1 AST)
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,2,00:11:23,00:00:37,00:00:17,9,CHI,shot,Kris Dunn,,,,,,,,,Otto Porter Jr.,3,,,made,,Jump Shot,28,-181,209,43.1,25.9,Porter Jr. 28' 3PT Jump Shot (3 PTS) (Dunn 1 AST)
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,2,00:10:55,00:01:05,00:00:28,11,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Jump Shot,20,136,151,38.6,73.9,MISS Jackson 20' Jump Shot
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,2,00:10:54,00:01:06,00:00:01,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PISTONS Rebound
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,2,00:10:54,00:01:06,00:00:00,52,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,PISTONS Turnover: Shot Clock (T#1)
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,2,00:10:40,00:01:20,00:00:14,13,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,23,232,25,1.8,7.5,MISS Markkanen  3PT Jump Shot
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,2,00:10:36,00:01:24,00:00:04,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021800992""",2018-2019 Regular Season,2019-03-10,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,Glenn Robinson III,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,3,4,00:10:31,00:01:29,00:00:05,16,DET,shot,Reggie Jackson,,,,,,,,,Wayne Ellington,2,,,made,,unknown,6,55,-17,30.5,90.7,Ellington 6' Driving Layup (2 PTS) (Jackson 1 AST)
