game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Myles Turner,Joel Embiid,,,,,,,Joel Embiid,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Embiid vs. Turner: Tip to Simmons
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:45,00:00:15,00:00:15,7,PHI,shot,,,,,,,,,,Tobias Harris,2,,,made,,unknown,3,-27,20,22.3,87.0,Harris 3' Driving Layup (2 PTS)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:45,00:00:15,00:00:00,8,IND,violation,,,,,,,,,,Myles Turner,,,,,,violation:defensive goaltending,,,,,,Turner Violation:Defensive Goaltending (M.Boland)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:25,00:00:35,00:00:20,9,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,unknown,4,-12,33,26.2,8.3,MISS Young 4' Driving Floating Jump Shot
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:21,00:00:39,00:00:04,10,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound offensive,,,,,,Young REBOUND (Off:1 Def:0)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:21,00:00:39,00:00:00,11,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Young 1' Tip Layup Shot
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:19,00:00:41,00:00:02,12,PHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:11,00:00:49,00:00:08,13,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,Layup,3,13,26,26.3,86.4,MISS Simmons 3' Layup
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:09,00:00:51,00:00:02,14,IND,rebound,,,,,,,,,,Thaddeus Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:1 Def:1)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:03,00:00:57,00:00:06,15,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Hook Shot,5,-28,42,27.8,9.2,MISS Collison 5' Hook Shot
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:01,00:00:59,00:00:02,16,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:58,00:01:02,00:00:03,17,PHI,turnover,,,,,,,,,,Ben Simmons,,,lost ball ,,Darren Collison,lost ball ,,,,,,"Collison STEAL (1 STL), Simmons Lost Ball Turnover (P1.T1)"
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:53,00:01:07,00:00:05,19,IND,miss,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,unknown,27,-185,191,43.5,24.1,MISS Bogdanovic 27' 3PT Running Pull-Up Jump Shot
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:51,00:01:09,00:00:02,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ERS Rebound
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:51,00:01:09,00:00:00,21,IND,foul,,,,,,,,Tobias Harris,,Thaddeus Young,,,l.b.foul,,,l.b.foul,,,,,,Young L.B.FOUL (P1.T1) (M.Boland)
"=""0021800994""",2018-2019 Regular Season,2019-03-10,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:42,00:01:18,00:00:09,23,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Jump Shot,26,89,243,33.9,64.7,MISS Embiid 26' 3PT Jump Shot
