game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Alex Len,,,,,,,Alex Len,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Len vs. Davis: Tip to Payton
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:49,00:00:11,00:00:11,7,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,unknown,1,-3,13,25.3,6.3,MISS Randle 1' Cutting Layup Shot
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:43,00:00:17,00:00:06,9,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:1)
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:42,00:00:18,00:00:01,10,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,26,97,237,34.7,65.3,MISS Prince 26' 3PT Jump Shot
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:42,00:00:18,00:00:00,11,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:27,00:00:33,00:00:15,12,ATL,foul,,,,,,,,Anthony Davis,,Taurean Prince,,,p.foul,,,p.foul,,,,,,Prince P.FOUL (P1.T1) (M.Callahan)
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:17,00:00:43,00:00:10,14,NOP,miss,,,,,,,,,,Frank Jackson,0,,,missed,,unknown,8,-2,83,25.2,13.3,MISS Jackson 8' Driving Floating Jump Shot
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:13,00:00:47,00:00:04,15,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:2)
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:11:07,00:00:53,00:00:06,16,ATL,turnover,,,,,,,,,,Trae Young,,,,,,unknown,,,,,,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021800995""",2018-2019 Regular Season,2019-03-10,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,0,00:10:53,00:01:07,00:00:14,17,NOP,shot,Elfrid Payton,,,,,,,,,Julius Randle,3,,,made,,Jump Shot,25,89,230,16.1,28.0,Randle 25' 3PT Jump Shot (3 PTS) (Payton 1 AST)
