game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Clint Capela,Dwight Powell,,,,,,,Dwight Powell,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Powell vs. Capela: Tip to Tucker
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:41,00:00:19,00:00:19,7,HOU,miss,,,,,,,,,,PJ Tucker,0,,,missed,,Jump Shot,23,231,29,1.9,7.9,MISS Tucker  3PT Jump Shot
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:39,00:00:21,00:00:02,8,HOU,rebound,,,,,,,,,,Clint Capela,,,,,,rebound offensive,,,,,,Capela REBOUND (Off:1 Def:0)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:35,00:00:25,00:00:04,9,DAL,foul,,,,,,,,Eric Gordon,,Dwight Powell,,,s.foul,,,s.foul,,,,,,Powell S.FOUL (P1.T1) (D.Collins)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,1,0,00:11:35,00:00:25,00:00:00,11,HOU,free throw,,,,,,,1,,2,Eric Gordon,1,,,made,,Free Throw 1 of 2,,,,,,Gordon Free Throw 1 of 2 (1 PTS)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,1,0,00:11:35,00:00:25,00:00:00,12,HOU,free throw,,,,,,,2,,2,Eric Gordon,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Gordon Free Throw 2 of 2
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,1,0,00:11:33,00:00:27,00:00:02,13,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,1,2,00:11:17,00:00:43,00:00:16,14,DAL,shot,Dwight Powell,,,,,,,,,Jalen Brunson,2,,,made,,unknown,9,-34,88,21.6,80.2,Brunson 9' Driving Floating Jump Shot (2 PTS) (Powell 1 AST)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,3,2,00:11:00,00:01:00,00:00:17,16,HOU,shot,James Harden,,,,,,,,,Clint Capela,2,,,made,,unknown,2,11,11,23.9,6.1,Capela 2' Driving Layup (2 PTS) (Harden 1 AST)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,3,5,00:10:41,00:01:19,00:00:19,18,DAL,shot,Luka Doncic,,,,,,,,,Dwight Powell,3,,,made,,Jump Shot,25,48,244,29.8,64.6,Powell 25' 3PT Jump Shot (3 PTS) (Doncic 1 AST)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,5,5,00:10:29,00:01:31,00:00:12,20,HOU,shot,Chris Paul,,,,,,,,,Clint Capela,2,,,made,,unknown,1,0,11,25.0,6.1,Capela 1' Cutting Dunk Shot (4 PTS) (Paul 1 AST)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,5,5,00:10:13,00:01:47,00:00:16,22,DAL,foul,,,,,,,,James Harden,,Dorian Finney-Smith,,,offensive charge foul,,,offensive charge foul,,,,,,Finney-Smith Offensive Charge Foul (P1.T2) (K.Fitzgerald)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,5,5,00:10:13,00:01:47,00:00:00,24,DAL,turnover,,,,,,,,,,Dorian Finney-Smith,,,offensive foul turnover,,,offensive foul turnover,,,,,,Finney-Smith Offensive Foul Turnover (P1.T1)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,5,5,00:09:58,00:02:02,00:00:15,25,HOU,miss,,,,,,,,,,Eric Gordon,0,,,missed,,Driving Hook Shot,8,-31,74,28.1,12.4,MISS Gordon 8' Driving Hook Shot
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,5,5,00:09:56,00:02:04,00:00:02,26,HOU,rebound,,,,,,,,,,Clint Capela,,,,,,rebound offensive,,,,,,Capela REBOUND (Off:2 Def:0)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,5,5,00:09:54,00:02:06,00:00:02,27,DAL,foul,,,,,,,,Clint Capela,,Luka Doncic,,,s.foul,,,s.foul,,,,,,Doncic S.FOUL (P1.T3) (K.Fitzgerald)
"=""0021800997""",2018-2019 Regular Season,2019-03-10,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tim Hardaway Jr.,Dorian Finney-Smith,Dwight Powell,Jalen Brunson,Luka Doncic,1,6,5,00:09:54,00:02:06,00:00:00,29,HOU,free throw,,,,,,,1,,2,Clint Capela,1,,,made,,Free Throw 1 of 2,,,,,,Capela Free Throw 1 of 2 (5 PTS)
