game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:12:00,0:00:00,0:00:00,4,UTA,jump ball,,Steven Adams,Rudy Gobert,,,,,,,Rudy Gobert,,Donovan Mitchell,,,,jump ball,,,,,,Jump Ball Gobert vs. Adams: Tip to Mitchell
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:11:43,0:00:17,0:00:17,7,UTA,miss,,,,,,,,,,Rudy Gobert,0,,,missed,,Alley Oop Layup,1,-13,0,23.7,89,MISS Gobert 1' Alley Oop Layup
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:11:41,0:00:19,0:00:02,8,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:11:37,0:00:23,0:00:04,9,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Pullup Jump Shot,26,204,155,4.6,20.5,MISS George 26' 3PT Pullup Jump Shot
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,0,0:11:34,0:00:26,0:00:03,10,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound defensive,,,,,,O'Neale REBOUND (Off:0 Def:1)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,2,0:11:27,0:00:33,0:00:07,11,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,2,24,-1,27.4,89.1,Mitchell 2' Driving Layup (2 PTS)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,2,0:11:13,0:00:47,0:00:14,12,OKC,turnover,,,,,,,,,,Paul George,,,bad pass ,,Derrick Favors,bad pass ,,,,,,"George Bad Pass Turnover (P1.T1), Favors STEAL (1 STL)"
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,2,0:11:03,0:00:57,0:00:10,14,UTA,miss,,,,,,,,,,Royce O'Neale,0,,,missed,,unknown,2,10,20,26,87,MISS O'Neale 2' Driving Dunk
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,2,0:11:03,0:00:57,0:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,0,2,0:11:00,0:01:00,0:00:03,17,UTA,foul,,,,,,,,Russell Westbrook,,Royce O'Neale,,,p.foul,,,p.foul,,,,,,O'Neale P.FOUL (P1.T1) (C.Blair)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,2,0:10:48,0:01:12,0:00:12,19,OKC,shot,Russell Westbrook,,,,,,,,,Jerami Grant,2,,,made,,Pullup Jump Shot,21,185,93,6.5,14.3,Grant 21' Pullup Jump Shot (2 PTS) (Westbrook 1 AST)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,2,0:10:22,0:01:38,0:00:26,21,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Pullup Jump Shot,26,184,184,43.4,70.6,MISS Ingles 26' 3PT Pullup Jump Shot
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,2,0:10:18,0:01:42,0:00:04,22,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,2,0:10:05,0:01:55,0:00:13,23,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,Hook Shot,8,7,79,24.3,12.9,MISS Grant 8' Hook Shot
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,2,0:10:00,0:02:00,0:00:05,24,OKC,jump ball,,Jerami Grant,Donovan Mitchell,,,,,,,Donovan Mitchell,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Mitchell vs. Grant: Tip to Westbrook
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,2,2,0:10:00,0:02:00,0:00:00,27,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:09:55,0:02:05,0:00:05,28,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,Pullup Jump Shot,19,-116,146,36.6,19.6,Westbrook 19' Pullup Jump Shot (2 PTS)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:09:40,0:02:20,0:00:15,29,UTA,turnover,,,,,,,,,,Donovan Mitchell,,,traveling ,,,traveling ,,,,,,Mitchell Traveling Turnover (P1.T1)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:09:29,0:02:31,0:00:11,30,OKC,miss,,,,,,,,,,Terrance Ferguson,0,,,missed,,Jump Shot,23,229,4,2.1,5.4,MISS Ferguson  3PT Jump Shot
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:09:26,0:02:34,0:00:03,31,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound defensive,,,,,,Ingles REBOUND (Off:0 Def:1)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:09:11,0:02:49,0:00:15,32,UTA,turnover,,,,,,,,,,Joe Ingles,,,bad pass ,,Steven Adams,bad pass ,,,,,,"Adams STEAL (1 STL), Ingles Bad Pass Turnover (P1.T2)"
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:09:08,0:02:52,0:00:03,34,OKC,turnover,,,,,,,,,,Steven Adams,,,,,,unknown,,,,,,Adams Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:08:49,0:03:11,0:00:19,35,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Jump Shot,24,220,107,47,78.3,MISS Favors 24' 3PT Jump Shot
0021801005,2018-2019 Regular Season,3/11/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Joe Ingles,Derrick Favors,Rudy Gobert,Royce O'Neale,Donovan Mitchell,1,4,2,0:08:46,0:03:14,0:00:03,36,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:2)
