game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Ante Zizic,Joel Embiid,,,,,,,Joel Embiid,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Embiid vs. Zizic: Tip to Simmons
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:48,00:00:12,00:00:12,7,PHI,shot,Joel Embiid,,,,,,,,,JJ Redick,2,,,made,,Pullup Jump Shot,21,143,153,39.3,73.7,Redick 21' Pullup Jump Shot (2 PTS) (Embiid 1 AST)
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:28,00:00:32,00:00:20,9,CLE,miss,,,,,,,,,,Ante Zizic,0,,,missed,,Jump Shot,12,38,117,21.2,16.7,MISS Zizic 12' Jump Shot
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:26,00:00:34,00:00:02,10,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:19,00:00:41,00:00:07,11,PHI,turnover,,,,,,,,,,Joel Embiid,,,double dribble turnover,,,double dribble turnover,,,,,,Embiid Double Dribble Turnover (P1.T1)
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:04,00:00:56,00:00:15,12,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Driving Finger Roll Layup,3,28,14,22.2,6.4,MISS Osman 3' Driving Finger Roll Layup
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:02,00:00:58,00:00:02,13,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound offensive,,,,,,Zizic REBOUND (Off:1 Def:0)
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:58,00:01:02,00:00:04,14,CLE,turnover,,,,,,,,,,Cedi Osman,,,bad pass ,,,bad pass ,,,,,,Osman Bad Pass Turnover (P1.T1)
"=""0021801008""",2018-2019 Regular Season,2019-03-12,David Nwaba,Cedi Osman,Ante Zizic,Brandon Knight,Collin Sexton,James Ennis III,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:10:47,00:01:13,00:00:11,15,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Turnaround Jump Shot,8,27,75,27.7,81.5,MISS Embiid 8' Turnaround Jump Shot
