game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,JaVale McGee,Robin Lopez,,,,,,,Robin Lopez,,Ryan Arcidiacono,,,,jump ball,,,,,,Jump Ball Lopez vs. McGee: Tip to Arcidiacono
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,0,0,00:11:37,00:00:23,00:00:23,7,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,25,-180,176,7.0,71.4,MISS Markkanen 25' 3PT Jump Shot
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,0,0,00:11:33,00:00:27,00:00:04,8,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,2,0,00:11:22,00:00:38,00:00:11,9,LAL,shot,Rajon Rondo,,,,,,,,,JaVale McGee,2,,,made,,Alley Oop Dunk,1,-6,-5,25.6,4.5,McGee 1' Alley Oop Dunk (2 PTS) (Rondo 1 AST)
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,2,0,00:11:04,00:00:56,00:00:18,11,CHI,turnover,,,,,,,,,,Kris Dunn,,,bad pass ,,Reggie Bullock,bad pass ,,,,,,"Bullock STEAL (1 STL), Dunn Bad Pass Turnover (P1.T1)"
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,2,0,00:10:58,00:01:02,00:00:06,13,LAL,turnover,,,,,,,,,,LeBron James,,,bad pass ,,Kris Dunn,bad pass ,,,,,,"James Bad Pass Turnover (P1.T1), Dunn STEAL (1 STL)"
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,2,3,00:10:54,00:01:06,00:00:04,15,CHI,shot,Ryan Arcidiacono,,,,,,,,,Otto Porter Jr.,3,,,made,,Jump Shot,26,224,127,47.4,76.3,Porter Jr. 26' 3PT Jump Shot (3 PTS) (Arcidiacono 1 AST)
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,2,3,00:10:34,00:01:26,00:00:20,17,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,26,-103,239,35.3,28.9,MISS Kuzma 26' 3PT Jump Shot
"=""0021801009""",2018-2019 Regular Season,2019-03-12,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Otto Porter Jr.,Lauri Markkanen,Robin Lopez,Ryan Arcidiacono,Kris Dunn,1,2,3,00:10:30,00:01:30,00:00:04,18,CHI,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
