game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Brook Lopez,Anthony Davis,,,,,,,Anthony Davis,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Davis vs. Lopez: Tip to Payton
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:11:46,00:00:14,00:00:14,7,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,unknown,1,-10,11,24.0,87.9,MISS Randle 1' Driving Layup
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:11:44,00:00:16,00:00:02,8,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:11:37,00:00:23,00:00:07,9,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,unknown,3,0,28,25.0,7.8,MISS Bledsoe 3' Driving Layup
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:11:35,00:00:25,00:00:02,10,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:11:24,00:00:36,00:00:11,11,NOP,turnover,,,,,,,,,,Frank Jackson,,,,,,unknown,,,,,,Jackson Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:11:11,00:00:49,00:00:13,12,MIL,shot,Khris Middleton,,,,,,,,,Brook Lopez,2,,,made,,Hook Shot,5,-1,54,25.1,10.4,Lopez 5' Hook Shot (2 PTS) (Middleton 1 AST)
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:10:59,00:01:01,00:00:12,14,NOP,shot,Anthony Davis,,,,,,,,,Julius Randle,3,,,made,,Jump Shot,24,-238,35,1.2,85.5,Randle 24' 3PT Jump Shot (3 PTS) (Davis 1 AST)
"=""0021801010""",2018-2019 Regular Season,2019-03-12,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:10:50,00:01:10,00:00:09,16,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,unknown,2,-19,10,26.9,6.0,MISS Antetokounmpo 2' Driving Layup
