game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Karl-Anthony Towns,Nikola Jokic,,,,,,,Nikola Jokic,,Paul Millsap,,,,jump ball,,,,,,Jump Ball Jokic vs. Towns: Tip to Millsap
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:40,00:00:20,00:00:20,20,DEN,turnover,,,,,,,,,,Paul Millsap,,,lost ball ,,Dario Saric,lost ball ,,,,,,"Saric STEAL (1 STL), Millsap Lost Ball Turnover (P1.T1)"
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,0,00:11:35,00:00:25,00:00:05,10,MIN,shot,Josh Okogie,,,,,,,,,Keita Bates-Diop,2,,,made,,Layup,2,-14,13,26.4,6.3,Bates-Diop 2' Layup (2 PTS) (Okogie 1 AST)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:11:24,00:00:36,00:00:11,12,DEN,shot,,,,,,,,,,Will Barton,2,,,made,,unknown,6,2,63,25.2,82.7,Barton 6' Driving Floating Jump Shot (2 PTS)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:10:59,00:01:01,00:00:25,13,MIN,turnover,,,,,,,,,,Keita Bates-Diop,,,bad pass ,,Jamal Murray,bad pass ,,,,,,"Bates-Diop Bad Pass Turnover (P1.T1), Murray STEAL (1 STL)"
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:10:55,00:01:05,00:00:04,15,MIN,foul,,,,,,,,Jamal Murray,,Dario Saric,,,s.foul,,,s.foul,,,,,,Saric S.FOUL (P1.T1) (A.Smith)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,3,00:10:55,00:01:05,00:00:00,17,DEN,free throw,,,,,,,1,,2,Jamal Murray,1,,,made,,Free Throw 1 of 2,,,,,,Murray Free Throw 1 of 2 (1 PTS)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,4,00:10:55,00:01:05,00:00:00,18,DEN,free throw,,,,,,,2,,2,Jamal Murray,1,,,made,,Free Throw 2 of 2,,,,,,Murray Free Throw 2 of 2 (2 PTS)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,4,4,00:10:39,00:01:21,00:00:16,19,MIN,shot,,,,,,,,,,Karl-Anthony Towns,2,,,made,,Layup,2,-20,-1,27.0,4.9,Towns 2' Layup (2 PTS)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,4,6,00:10:17,00:01:43,00:00:22,22,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,Step Back Jump Shot,20,139,141,38.9,74.9,Murray 20' Step Back Jump Shot (4 PTS) (Jokic 1 AST)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,4,6,00:09:57,00:02:03,00:00:20,24,MIN,miss,,,,,,,,,,Dario Saric,0,,,missed,,Jump Shot,21,155,135,9.5,18.5,MISS Saric 21' Jump Shot
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,4,6,00:09:53,00:02:07,00:00:04,25,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound offensive,,,,,,Towns REBOUND (Off:1 Def:0)
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,4,6,00:09:48,00:02:12,00:00:05,26,MIN,turnover,,,,,,,,,,Karl-Anthony Towns,,,bad pass ,,Jamal Murray,bad pass ,,,,,,"Towns Bad Pass Turnover (P1.T2), Murray STEAL (2 STL)"
"=""0021801012""",2018-2019 Regular Season,2019-03-12,Keita Bates-Diop,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,4,6,00:09:41,00:02:19,00:00:07,28,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Step Back Jump Shot,17,-127,118,12.3,77.2,MISS Murray 17' Step Back Jump Shot
