game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,Myles Turner,,,,,,,Myles Turner,,Russell Westbrook,,,,jump ball,,,,,,Jump Ball Turner vs. Adams: Tip to Westbrook
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:52,00:00:08,00:00:08,7,IND,foul,,,,,,,,Paul George,,Myles Turner,,,s.foul,,,s.foul,,,,,,Turner S.FOUL (P1.T1) (S.Foster)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,1,0,00:11:52,00:00:08,00:00:00,9,OKC,free throw,,,,,,,1,,2,Paul George,1,,,made,,Free Throw 1 of 2,,,,,,George Free Throw 1 of 2 (1 PTS)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:11:52,00:00:08,00:00:00,10,OKC,free throw,,,,,,,2,,2,Paul George,1,,,made,,Free Throw 2 of 2,,,,,,George Free Throw 2 of 2 (2 PTS)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:11:38,00:00:22,00:00:14,11,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Jump Shot,19,-74,175,17.6,71.5,MISS Turner 19' Jump Shot
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:11:34,00:00:26,00:00:04,12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:11:16,00:00:44,00:00:18,13,OKC,turnover,,,,,,,,,,Steven Adams,,,lost ball ,,Thaddeus Young,lost ball ,,,,,,"Adams Lost Ball Turnover (P1.T1), Young STEAL (1 STL)"
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:11:01,00:00:59,00:00:15,15,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Turnaround Jump Shot,17,-168,-1,8.2,89.1,MISS Collison 17' Turnaround Jump Shot
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:58,00:01:02,00:00:03,16,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:2)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:52,00:01:08,00:00:06,17,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Fadeaway Jumper,13,105,71,14.5,12.1,MISS George 13' Fadeaway Jumper
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:49,00:01:11,00:00:03,18,IND,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:1)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:44,00:01:16,00:00:05,19,IND,miss,,,,Terrance Ferguson,,,,,,Bojan Bogdanovic,0,,,missed,,unknown,1,-3,-8,24.7,89.8,"Ferguson BLOCK (1 BLK), MISS Bogdanovic 1' Driving Layup"
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:43,00:01:17,00:00:01,21,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PACERS Rebound
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:31,00:01:29,00:00:12,23,IND,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,unknown,6,14,54,26.4,83.6,MISS Matthews 6' Driving Layup
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:29,00:01:31,00:00:02,24,OKC,rebound,,,,,,,,,,Jerami Grant,,,,,,rebound defensive,,,,,,Grant REBOUND (Off:0 Def:1)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:18,00:01:42,00:00:11,25,IND,foul,,,,,,,,Steven Adams,,Darren Collison,,,s.foul,,,s.foul,,,,,,Collison S.FOUL (P1.T2) (D.Taylor)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:18,00:01:42,00:00:00,27,OKC,free throw,,,,,,,1,,2,Steven Adams,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Adams Free Throw 1 of 2
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,2,0,00:10:18,00:01:42,00:00:00,28,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Thunder Rebound
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:18,00:01:42,00:00:00,29,OKC,free throw,,,,,,,2,,2,Steven Adams,1,,,made,,Free Throw 2 of 2,,,,,,Adams Free Throw 2 of 2 (1 PTS)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:11,00:01:49,00:00:07,30,IND,turnover,,,,,,,,,,Bojan Bogdanovic,,,bad pass ,,Paul George,bad pass ,,,,,,"George STEAL (1 STL), Bogdanovic Bad Pass Turnover (P1.T1)"
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:05,00:01:55,00:00:06,32,OKC,miss,,,,,,,,,,Russell Westbrook,0,,,missed,,Running Layup,1,3,8,24.7,5.8,MISS Westbrook 1' Running Layup
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:03,00:01:57,00:00:02,33,IND,rebound,,,,,,,,,,Bojan Bogdanovic,,,,,,rebound defensive,,,,,,Bogdanovic REBOUND (Off:0 Def:2)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:00,00:02:00,00:00:03,34,IND,miss,,,,,,,,,,Myles Turner,0,,,missed,,Layup,1,4,10,25.4,88.0,MISS Turner 1' Layup
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:09:59,00:02:01,00:00:01,35,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:09:51,00:02:09,00:00:08,37,OKC,turnover,,,,,,,,,,Paul George,,,bad pass ,,Darren Collison,bad pass ,,,,,,"George Bad Pass Turnover (P1.T2), Collison STEAL (1 STL)"
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,3,00:09:48,00:02:12,00:00:03,39,IND,shot,Darren Collison,,,,,,,,,Bojan Bogdanovic,3,,,made,,Jump Shot,24,-229,67,2.1,82.3,Bogdanovic 24' 3PT Jump Shot (3 PTS) (Collison 1 AST)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,3,00:09:30,00:02:30,00:00:18,41,OKC,shot,Russell Westbrook,,,,,,,,,Paul George,3,,,made,,Jump Shot,27,122,243,12.8,29.3,George 27' 3PT Jump Shot (5 PTS) (Westbrook 1 AST)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,5,00:09:08,00:02:52,00:00:22,43,IND,shot,Wesley Matthews,,,,,,,,,Darren Collison,2,,,made,,Pullup Jump Shot,19,76,169,32.6,72.1,Collison 19' Pullup Jump Shot (2 PTS) (Matthews 1 AST)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,5,00:08:51,00:03:09,00:00:17,46,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,27,-166,214,41.6,26.4,MISS George 27' 3PT Jump Shot
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,5,00:08:47,00:03:13,00:00:04,47,IND,rebound,,,,,,,,,,Darren Collison,,,,,,rebound defensive,,,,,,Collison REBOUND (Off:0 Def:1)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,5,00:08:41,00:03:19,00:00:06,48,OKC,foul,,,,,,,,Darren Collison,,Terrance Ferguson,,,s.foul,,,s.foul,,,,,,Ferguson S.FOUL (P1.T1) (D.Taylor)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,6,00:08:41,00:03:19,00:00:00,50,IND,free throw,,,,,,,1,,2,Darren Collison,1,,,made,,Free Throw 1 of 2,,,,,,Collison Free Throw 1 of 2 (3 PTS)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,7,00:08:41,00:03:19,00:00:00,51,IND,free throw,,,,,,,2,,2,Darren Collison,1,,,made,,Free Throw 2 of 2,,,,,,Collison Free Throw 2 of 2 (4 PTS)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,7,00:08:26,00:03:34,00:00:15,52,OKC,miss,,,,,,,,,,Steven Adams,0,,,missed,,Turnaround Jump Shot,11,111,5,13.9,5.5,MISS Adams 11' Turnaround Jump Shot
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,7,00:08:22,00:03:38,00:00:04,53,OKC,rebound,,,,,,,,,,Jerami Grant,,,,,,rebound offensive,,,,,,Grant REBOUND (Off:1 Def:1)
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,7,00:08:22,00:03:38,00:00:00,54,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Grant 1' Tip Layup Shot
"=""0021801020""",2018-2019 Regular Season,2019-03-14,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,6,7,00:08:21,00:03:39,00:00:01,55,IND,rebound,,,,,,,,,,Myles Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
