game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Ante Zizic,Nikola Vucevic,,,,,,,Nikola Vucevic,,Kevin Love,,,,jump ball,,,,,,Jump Ball Vucevic vs. Zizic: Tip to Love
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:42,00:00:18,00:00:18,7,CLE,shot,Cedi Osman,,,,,,,,,Kevin Love,2,,,made,,Hook Shot,3,-21,27,27.1,7.7,Love 3' Hook Shot (2 PTS) (Osman 1 AST)
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:23,00:00:37,00:00:19,9,ORL,miss,,,,Kevin Love,,,,,,Aaron Gordon,0,,,missed,,Layup,6,-52,22,19.8,86.8,"Love BLOCK (1 BLK), MISS Gordon 6' Layup"
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:19,00:00:41,00:00:04,11,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound defensive,,,,,,Zizic REBOUND (Off:0 Def:1)
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:14,00:00:46,00:00:05,12,CLE,miss,,,,,,,,,,Collin Sexton,0,,,missed,,Jump Shot,27,14,273,23.6,32.3,MISS Sexton 27' 3PT Jump Shot
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:12,00:00:48,00:00:02,13,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:04,00:00:56,00:00:08,14,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Hook Shot,7,-41,57,20.9,83.3,MISS Vucevic 7' Hook Shot
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,0,00:11:01,00:00:59,00:00:03,15,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021801021""",2018-2019 Regular Season,2019-03-14,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,5,0,00:10:54,00:01:06,00:00:07,16,CLE,shot,,,,,,,,,,Brandon Knight,3,,,made,,Jump Shot,27,143,230,10.7,28.0,Knight 27' 3PT Jump Shot (3 PTS)
