game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Willie Cauley-Stein,Al Horford,,,,,,,Al Horford,,Nemanja Bjelica,,,,jump ball,,,,,,Jump Ball Horford vs. Cauley-Stein: Tip to Bjelica
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:42,00:00:18,00:00:18,7,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Jump Shot,27,136,229,11.4,27.9,MISS Bjelica 27' 3PT Jump Shot
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:11:40,00:00:20,00:00:02,8,BOS,rebound,,,,,,,,,,Marcus Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:1)
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:32,00:00:28,00:00:08,9,BOS,shot,Marcus Morris,,,,,,,,,Al Horford,2,,,made,,Turnaround Hook Shot,4,8,38,25.8,85.2,Horford 4' Turnaround Hook Shot (2 PTS) (Morris 1 AST)
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:21,00:00:39,00:00:11,11,BOS,foul,,,,,,,,Nemanja Bjelica,,Kyrie Irving,,,s.foul,,,s.foul,,,,,,Irving S.FOUL (P1.T1) (T.Brothers)
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,1,2,00:11:21,00:00:39,00:00:00,13,SAC,free throw,,,,,,,1,,2,Nemanja Bjelica,1,,,made,,Free Throw 1 of 2,,,,,,Bjelica Free Throw 1 of 2 (1 PTS)
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,1,2,00:11:21,00:00:39,00:00:00,14,SAC,free throw,,,,,,,2,,2,Nemanja Bjelica,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Bjelica Free Throw 2 of 2
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,1,2,00:11:21,00:00:39,00:00:00,15,BOS,rebound,,,,,,,,,,Marcus Morris,,,,,,rebound defensive,,,,,,Morris REBOUND (Off:0 Def:2)
"=""0021801022""",2018-2019 Regular Season,2019-03-14,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,1,2,00:11:06,00:00:54,00:00:15,16,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Pullup Jump Shot,17,38,167,28.8,72.3,MISS Irving 17' Pullup Jump Shot
