game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Willie Cauley-Stein,Joel Embiid,,,,,,,Joel Embiid,,Jimmy Butler,,,,jump ball,,,,,,Jump Ball Embiid vs. Cauley-Stein: Tip to Butler
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:44,00:00:16,00:00:16,7,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Hook Shot,10,36,94,28.6,79.6,MISS Embiid 10' Hook Shot
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:41,00:00:19,00:00:03,8,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:29,00:00:31,00:00:12,9,SAC,shot,Willie Cauley-Stein,,,,,,,,,Buddy Hield,2,,,made,,Jump Shot,8,79,-9,17.1,4.1,Hield 8' Jump Shot (2 PTS) (Cauley-Stein 1 AST)
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:06,00:00:54,00:00:23,10,PHI,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,24,241,27,49.1,86.3,MISS Harris 24' 3PT Jump Shot
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:11:03,00:00:57,00:00:03,11,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:2)
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:10:55,00:01:05,00:00:08,12,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Driving Hook Shot,4,-24,34,27.4,8.4,MISS Bjelica 4' Driving Hook Shot
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,0,00:10:53,00:01:07,00:00:02,13,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
"=""0021801027""",2018-2019 Regular Season,2019-03-15,Nemanja Bjelica,Harrison Barnes,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,2,2,00:10:45,00:01:15,00:00:08,14,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,unknown,2,14,10,26.4,88.0,Simmons 2' Driving Layup (2 PTS)
