game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Bismack Biyombo,Bobby Portis,,,,,,,Bobby Portis,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Portis vs. Biyombo: Tip to Williams
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:11:46,00:00:14,00:00:14,7,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Jump Shot,21,-63,197,31.3,24.7,MISS Walker 21' Jump Shot
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:11:42,00:00:18,00:00:04,8,WAS,rebound,,,,,,,,,,Trevor Ariza,,,,,,rebound defensive,,,,,,Ariza REBOUND (Off:0 Def:1)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,0,0,00:11:27,00:00:33,00:00:15,9,WAS,turnover,,,,,,,,,,Jeff Green,,,bad pass ,,Miles Bridges,bad pass ,,,,,,"Bridges STEAL (1 STL), Green Bad Pass Turnover (P1.T1)"
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,0,00:11:21,00:00:39,00:00:06,11,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,unknown,2,7,24,24.3,7.4,Walker 3' Driving Layup (2 PTS)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,2,2,00:11:06,00:00:54,00:00:15,12,WAS,shot,Trevor Ariza,,,,,,,,,Bradley Beal,2,,,made,,Jump Bank Shot,1,11,7,26.1,88.3,Beal 1' Jump Bank Shot (2 PTS) (Ariza 1 AST)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,4,2,00:10:53,00:01:07,00:00:13,14,CHA,shot,Nicolas Batum,,,,,,,,,Bismack Biyombo,2,,,made,,unknown,2,-4,24,25.4,7.4,Biyombo 2' Cutting Layup Shot (2 PTS) (Batum 1 AST)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,4,2,00:10:31,00:01:29,00:00:22,16,WAS,miss,,,,,,,,,,Tomas Satoransky,0,,,missed,,Jump Shot,24,195,148,44.5,74.2,MISS Satoransky 24' 3PT Jump Shot
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,4,2,00:10:27,00:01:33,00:00:04,17,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,6,2,00:10:16,00:01:44,00:00:11,18,CHA,shot,Nicolas Batum,,,,,,,,,Miles Bridges,2,,,made,,Turnaround Bank Hook Shot,7,-62,36,31.2,8.6,Bridges 7' Turnaround Bank Hook Shot (2 PTS) (Batum 2 AST)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,6,2,00:10:10,00:01:50,00:00:06,20,WAS,turnover,,,,,,,,,,Trevor Ariza,,,lost ball ,,Kemba Walker,lost ball ,,,,,,"Walker STEAL (1 STL), Ariza Lost Ball Turnover (P1.T2)"
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,9,2,00:10:03,00:01:57,00:00:07,22,CHA,shot,,,,,,,,,,Kemba Walker,3,,,made,,Step Back Jump Shot,25,138,205,11.2,25.5,Walker 25' 3PT Step Back Jump Shot (5 PTS)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,9,4,00:09:48,00:02:12,00:00:15,23,WAS,shot,Bradley Beal,,,,,,,,,Jeff Green,2,,,made,,unknown,2,4,15,25.4,87.5,Green 2' Driving Layup (2 PTS) (Beal 1 AST)
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,9,4,00:09:37,00:02:23,00:00:11,25,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,unknown,2,-13,20,26.3,7.0,MISS Walker 2' Driving Layup
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,9,4,00:09:37,00:02:23,00:00:00,26,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Hornets Rebound
"=""0021801028""",2018-2019 Regular Season,2019-03-15,Miles Bridges,Marvin Williams,Bismack Biyombo,Nicolas Batum,Kemba Walker,Trevor Ariza,Jeff Green,Bobby Portis,Bradley Beal,Tomas Satoransky,1,9,4,00:09:35,00:02:25,00:00:02,28,CHA,turnover,,,,,,,,,,Nicolas Batum,,,bad pass ,,Bradley Beal,bad pass ,,,,,,"Batum Bad Pass Turnover (P1.T1), Beal STEAL (1 STL)"
