game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,DeAndre Jordan,Jakob Poeltl,,,,,,,Jakob Poeltl,,Derrick White,,,,jump ball,,,,,,Jump Ball Poeltl vs. Jordan: Tip to White
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:48,00:00:12,00:00:12,7,SAS,shot,,,,,,,,,,Derrick White,2,,,made,,Pullup Jump Shot,17,71,157,32.1,73.3,White 17' Pullup Jump Shot (2 PTS)
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:24,00:00:36,00:00:24,8,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,Turnaround Hook Shot,10,-89,42,33.9,9.2,MISS Knox 10' Turnaround Hook Shot
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:22,00:00:38,00:00:02,9,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:14,00:00:46,00:00:08,10,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,unknown,9,42,76,29.2,81.4,MISS White 9' Driving Floating Jump Shot
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:12,00:00:48,00:00:02,11,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound offensive,,,,,,White REBOUND (Off:1 Def:0)
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,4,00:11:06,00:00:54,00:00:06,12,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Pullup Jump Shot,15,-147,20,10.3,87.0,DeRozan 15' Pullup Jump Shot (2 PTS)
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,2,4,00:10:44,00:01:16,00:00:22,13,NYK,shot,,,,,,,,,,Noah Vonleh,2,,,made,,Pullup Jump Shot,16,120,109,13.0,15.9,Vonleh 16' Pullup Jump Shot (2 PTS)
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,2,4,00:10:22,00:01:38,00:00:22,14,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,Jump Shot,28,-121,253,12.9,63.7,MISS Forbes 28' 3PT Jump Shot
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,2,4,00:10:19,00:01:41,00:00:03,15,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021801032""",2018-2019 Regular Season,2019-03-15,Kevin Knox,Noah Vonleh,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,5,4,00:10:08,00:01:52,00:00:11,16,NYK,shot,Noah Vonleh,,,,,,,,,Kevin Knox,3,,,made,,Jump Shot,25,-212,126,46.2,17.6,Knox 25' 3PT Jump Shot (3 PTS) (Vonleh 1 AST)
