game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Dewayne Dedmon,Al Horford,,,,,,,Al Horford,,Marcus Morris,,,,jump ball,,,,,,Jump Ball Horford vs. Dedmon: Tip to Morris
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:51,00:00:09,00:00:09,7,BOS,shot,Marcus Smart,,,,,,,,,Kyrie Irving,2,,,made,,Jump Shot,22,134,178,38.4,71.2,Irving 22' Jump Shot (2 PTS) (Smart 1 AST)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,2,00:11:37,00:00:23,00:00:14,9,ATL,turnover,,,,,,,,,,Kevin Huerter,,,bad pass ,,Jayson Tatum,bad pass ,,,,,,"Huerter Bad Pass Turnover (P1.T1), Tatum STEAL (1 STL)"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:11:32,00:00:28,00:00:05,11,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Smart,2,,,made,,Running Layup,1,-5,5,24.5,88.5,Smart 1' Running Layup (2 PTS) (Tatum 1 AST)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:11:20,00:00:40,00:00:12,13,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Jump Shot,26,217,147,3.3,19.7,MISS Huerter 26' 3PT Jump Shot
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:11:18,00:00:42,00:00:02,14,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound offensive,,,,,,Dedmon REBOUND (Off:1 Def:0)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:11:15,00:00:45,00:00:03,15,ATL,miss,,,,,,,,,,Dewayne Dedmon,0,,,missed,,Putback Layup,2,-16,9,26.6,5.9,MISS Dedmon 2' Putback Layup
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,0,4,00:11:14,00:00:46,00:00:01,16,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound offensive,,,,,,Collins REBOUND (Off:1 Def:0)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,2,4,00:11:13,00:00:47,00:00:01,17,ATL,shot,,,,,,,,,,John Collins,2,,,made,,unknown,1,0,-6,25.0,4.4,Collins 1' Tip Layup Shot (2 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,2,6,00:11:04,00:00:56,00:00:09,18,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,Fadeaway Jumper,10,96,23,34.6,86.7,Irving 10' Fadeaway Jumper (4 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,4,6,00:10:54,00:01:06,00:00:10,19,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,Driving Finger Roll Layup,2,-22,10,27.2,6.0,Young 2' Driving Finger Roll Layup (2 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,4,6,00:10:35,00:01:25,00:00:19,20,BOS,turnover,,,,,,,,,,Al Horford,,,lost ball ,,John Collins,lost ball ,,,,,,"Collins STEAL (1 STL), Horford Lost Ball Turnover (P1.T1)"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,4,6,00:10:31,00:01:29,00:00:04,22,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,26,187,185,6.3,23.5,MISS Prince 26' 3PT Jump Shot
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,4,6,00:10:29,00:01:31,00:00:02,23,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound offensive,,,,,,Young REBOUND (Off:1 Def:0)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,6,00:10:20,00:01:40,00:00:09,24,ATL,shot,Trae Young,,,,,,,,,John Collins,2,,,made,,Alley Oop Layup,3,19,19,23.1,6.9,Collins 3' Alley Oop Layup (4 PTS) (Young 1 AST)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:10:04,00:01:56,00:00:16,26,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Smart,2,,,made,,Driving Reverse Layup,1,12,8,26.2,88.2,Smart 1' Driving Reverse Layup (4 PTS) (Tatum 2 AST)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:50,00:02:10,00:00:14,28,BOS,foul,,,,,,,,Trae Young,,Kyrie Irving,,,p.foul,,,p.foul,,,,,,Irving P.FOUL (P1.T1) (P.Fraher)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:42,00:02:18,00:00:08,30,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Alley Oop Dunk,3,-30,-1,28.0,4.9,MISS Collins 3' Alley Oop Dunk
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:40,00:02:20,00:00:02,31,BOS,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:34,00:02:26,00:00:06,32,BOS,turnover,,,,,,,,,,Al Horford,,,lost ball ,,Dewayne Dedmon,lost ball ,,,,,,"Dedmon STEAL (1 STL), Horford Lost Ball Turnover (P2.T2)"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:30,00:02:30,00:00:04,34,ATL,turnover,,,,,,,,,,John Collins,,,bad pass ,,Marcus Morris,bad pass ,,,,,,"Collins Bad Pass Turnover (P1.T2), Morris STEAL (1 STL)"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:26,00:02:34,00:00:04,36,BOS,miss,,,,John Collins,,,,,,Marcus Morris,0,,,missed,,Running Finger Roll Layup,2,-20,13,23.0,87.7,"Collins BLOCK (1 BLK), MISS Morris 2' Running Finger Roll Layup"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:25,00:02:35,00:00:01,38,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CELTICS Rebound
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,8,00:09:25,00:02:35,00:00:00,40,ATL,foul,,,,,,,,Marcus Smart,,Taurean Prince,,,away.from.play.foul,,,away.from.play.foul,,,,,,Prince AWAY.FROM.PLAY.FOUL (P1.T1) (E.Dalen)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,9,00:09:25,00:02:35,00:00:00,47,BOS,free throw,,,,,,,1,,1,Marcus Smart,1,,,made,,Free Throw 1 of 1,,,,,,Smart Free Throw 1 of 1 (5 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,9,00:09:18,00:02:42,00:00:07,42,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,28,-163,230,8.7,66.0,MISS Irving 28' 3PT Jump Shot
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,6,9,00:09:16,00:02:44,00:00:02,43,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:1 Def:1)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,8,9,00:09:06,00:02:54,00:00:10,44,ATL,shot,,,,,,,,,,John Collins,2,,,made,,Jump Shot,14,134,40,11.6,9.0,Collins 14' Jump Shot (6 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,8,11,00:08:53,00:03:07,00:00:13,45,BOS,shot,Kyrie Irving,,,,,,,,,Jayson Tatum,2,,,made,,unknown,3,3,29,25.3,86.1,Tatum 3' Driving Layup (2 PTS) (Irving 1 AST)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,11,11,00:08:39,00:03:21,00:00:14,48,ATL,shot,,,,,,,,,,Trae Young,3,,,made,,Jump Shot,30,117,273,13.3,32.3,Young 30' 3PT Jump Shot (5 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,11,11,00:08:25,00:03:35,00:00:14,49,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,18,35,173,28.5,71.7,MISS Irving 18' Jump Shot
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,11,11,00:08:23,00:03:37,00:00:02,51,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:1 Def:2)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,13,11,00:08:14,00:03:46,00:00:09,50,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,Jump Shot,9,50,72,20.0,12.2,Young 9' Jump Shot (7 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,13,13,00:08:03,00:03:57,00:00:11,52,BOS,shot,Marcus Smart,,,,,,,,,Al Horford,2,,,made,,Jump Shot,21,-66,197,18.4,69.3,Horford 21' Jump Shot (2 PTS) (Smart 2 AST)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,13,13,00:07:44,00:04:16,00:00:19,54,ATL,turnover,,,,,,,,,,Dewayne Dedmon,,,bad pass ,,Kyrie Irving,bad pass ,,,,,,"Dedmon Bad Pass Turnover (P1.T3), Irving STEAL (1 STL)"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,13,13,00:07:41,00:04:19,00:00:03,56,BOS,turnover,,,,,,,,,,Jayson Tatum,,,lost ball ,,Trae Young,lost ball ,,,,,,"Young STEAL (1 STL), Tatum Lost Ball Turnover (P1.T3)"
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,15,13,00:07:34,00:04:26,00:00:07,58,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,unknown,3,-27,3,27.7,5.3,Young 3' Driving Floating Bank Jump Shot (9 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,15,15,00:07:26,00:04:34,00:00:08,59,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,Running Finger Roll Layup,3,-20,26,23.0,86.4,Irving 3' Running Finger Roll Layup (6 PTS)
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,15,15,00:07:17,00:04:43,00:00:09,60,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Pullup Jump Shot,33,206,256,4.4,30.6,MISS Young 33' 3PT Pullup Jump Shot
"=""0021801034""",2018-2019 Regular Season,2019-03-16,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,1,15,15,00:07:15,00:04:45,00:00:02,61,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
