game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Deandre Ayton,Anthony Davis,,,,,,,Anthony Davis,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Davis vs. Ayton: Tip to Payton
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,2,00:11:46,00:00:14,00:00:14,7,NOP,shot,Frank Jackson,,,,,,,,,Anthony Davis,2,,,made,,Alley Oop Dunk,0,0,5,25.0,88.5,Davis 1' Alley Oop Dunk (2 PTS) (Jackson 1 AST)
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:11:30,00:00:30,00:00:16,9,PHX,shot,,,,,,,,,,Kelly Oubre Jr.,2,,,made,,Pullup Jump Shot,8,-32,72,28.2,12.2,Oubre Jr. 8' Pullup Jump Shot (2 PTS)
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:11:12,00:00:48,00:00:18,10,PHX,violation,,,,,,,,,,Dragan Bender,,,,,,violation:kicked ball,,,,,,Bender Violation:Kicked Ball (K.Lane)
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:11:02,00:00:58,00:00:10,11,NOP,miss,,,,,,,,,,Frank Jackson,0,,,missed,,Layup,2,-16,7,23.4,88.3,MISS Jackson 2' Layup
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:11:02,00:00:58,00:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PELICANS Rebound
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:11:01,00:00:59,00:00:01,14,NOP,miss,,,,,,,,,,Frank Jackson,0,,,missed,,Jump Shot,9,91,18,34.1,87.2,MISS Jackson 9' Jump Shot
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:10:57,00:01:03,00:00:04,15,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:10:46,00:01:14,00:00:11,16,PHX,miss,,,,,,,,,,Kelly Oubre Jr.,0,,,missed,,Jump Shot,22,223,29,2.7,7.9,MISS Oubre Jr.  3PT Jump Shot
"=""0021801036""",2018-2019 Regular Season,2019-03-16,Kelly Oubre Jr.,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,2,00:10:43,00:01:17,00:00:03,17,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
