game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Jusuf Nurkic,Jakob Poeltl,,,,,,,Jakob Poeltl,,Maurice Harkless,,,,jump ball,,,,,,Jump Ball Poeltl vs. Nurkic: Tip to Harkless
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:37,00:00:23,00:00:23,7,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Hook Shot,6,-9,55,25.9,10.5,MISS Nurkic 6' Hook Shot
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:35,00:00:25,00:00:02,8,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:27,00:00:33,00:00:08,9,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,Jump Shot,24,141,199,39.1,69.1,MISS Forbes 24' 3PT Jump Shot
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:23,00:00:37,00:00:04,10,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:11,00:00:49,00:00:12,11,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,unknown,6,-18,58,26.8,10.8,MISS Nurkic 6' Driving Floating Bank Jump Shot
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:08,00:00:52,00:00:03,12,POR,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound offensive,,,,,,Harkless REBOUND (Off:1 Def:0)
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:06,00:00:54,00:00:02,13,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Jump Shot,26,-203,160,45.3,21.0,MISS McCollum 26' 3PT Jump Shot
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:02,00:00:58,00:00:04,14,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021801039""",2018-2019 Regular Season,2019-03-16,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:10:38,00:01:22,00:00:24,15,SAS,shot,DeMar DeRozan,,,,,,,,,LaMarcus Aldridge,2,,,made,,Turnaround Jump Shot,14,-134,17,11.6,87.3,Aldridge 14' Turnaround Jump Shot (2 PTS) (DeRozan 1 AST)
