game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,JaVale McGee,DeAndre Jordan,,,,,,,DeAndre Jordan,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball Jordan vs. McGee: Tip to Rondo
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,0,00:11:42,00:00:18,00:00:18,7,LAL,shot,,,,,,,,,,LeBron James,2,,,made,,Jump Shot,20,-131,156,38.1,20.6,James 20' Jump Shot (2 PTS)
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,2,00:11:14,00:00:46,00:00:28,8,NYK,shot,Emmanuel Mudiay,,,,,,,,,Damyean Dotson,2,,,made,,unknown,0,0,-4,25.0,89.4,Dotson  Driving Layup (2 PTS) (Mudiay 1 AST)
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,2,00:11:03,00:00:57,00:00:11,10,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,18,94,150,15.6,20.0,MISS Kuzma 18' Jump Shot
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,2,00:11:01,00:00:59,00:00:02,11,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,4,00:10:53,00:01:07,00:00:08,12,NYK,shot,Emmanuel Mudiay,,,,,,,,,DeAndre Jordan,2,,,made,,Dunk,1,-1,6,24.9,88.4,Jordan 1' Dunk (2 PTS) (Mudiay 2 AST)
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,4,00:10:37,00:01:23,00:00:16,14,LAL,miss,,,,,,,,,,LeBron James,0,,,missed,,Jump Shot,26,-3,255,25.3,30.5,MISS James 26' 3PT Jump Shot
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,4,00:10:35,00:01:25,00:00:02,15,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:2)
"=""0021801042""",2018-2019 Regular Season,2019-03-17,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,4,00:10:19,00:01:41,00:00:16,17,NYK,miss,,,,,,,,,,Emmanuel Mudiay,0,,,missed,,Jump Shot,20,-192,43,5.8,84.7,MISS Mudiay 20' Jump Shot
