game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Nikola Vucevic,,,,,,,Nikola Vucevic,,Trae Young,,,,jump ball,,,,,,Jump Ball Vucevic vs. Dedmon: Tip to Young
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:46,00:00:14,00:00:14,7,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,unknown,8,-55,63,30.5,11.3,MISS Prince 8' Turnaround Fadeaway Bank Jump Shot
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:42,00:00:18,00:00:04,8,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound defensive,,,,,,Vucevic REBOUND (Off:0 Def:1)
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:30,00:00:30,00:00:12,9,ORL,shot,Aaron Gordon,,,,,,,,,Nikola Vucevic,2,,,made,,Jump Shot,16,-8,155,24.2,73.5,Vucevic 16' Jump Shot (2 PTS) (Gordon 1 AST)
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:18,00:00:42,00:00:12,11,ATL,miss,,,,,,,,,,Dewayne Dedmon,0,,,missed,,Jump Shot,24,231,76,1.9,12.6,MISS Dedmon 24' 3PT Jump Shot
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,2,00:11:15,00:00:45,00:00:03,12,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound offensive,,,,,,Collins REBOUND (Off:1 Def:0)
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:11:12,00:00:48,00:00:03,13,ATL,shot,John Collins,,,,,,,,,Dewayne Dedmon,2,,,made,,unknown,1,2,12,24.8,6.2,Dedmon 1' Cutting Dunk Shot (2 PTS) (Collins 1 AST)
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:10:55,00:01:05,00:00:17,15,ORL,miss,,,,John Collins,,,,,,Nikola Vucevic,0,,,missed,,Turnaround Jump Shot,7,-54,46,19.6,84.4,"Collins BLOCK (1 BLK), MISS Vucevic 7' Turnaround Jump Shot"
"=""0021801046""",2018-2019 Regular Season,2019-03-17,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,2,2,00:10:54,00:01:06,00:00:01,17,ORL,rebound,,,,,,,,,,Nikola Vucevic,,,,,,rebound offensive,,,,,,Vucevic REBOUND (Off:1 Def:1)
