game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Andrew Bogut,Jakob Poeltl,,,,,,,Jakob Poeltl,,Draymond Green,,,,jump ball,,,,,,Jump Ball Poeltl vs. Bogut: Tip to Green
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:51,00:00:09,00:00:09,7,GSW,foul,,,,,,,,Bryn Forbes,,Andrew Bogut,,,off.foul,,,off.foul,,,,,,Bogut OFF.Foul (P1) (G.Petraitis)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:51,00:00:09,00:00:00,9,GSW,turnover,,,,,,,,,,Andrew Bogut,,,offensive foul turnover,,,offensive foul turnover,,,,,,Bogut Offensive Foul Turnover (P1.T1)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:37,00:00:23,00:00:14,10,SAS,miss,,,,Klay Thompson,,,,,,DeMar DeRozan,0,,,missed,,Pullup Jump Shot,13,-3,127,24.7,76.3,"Thompson BLOCK (1 BLK), MISS DeRozan 13' Pullup Jump Shot"
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:34,00:00:26,00:00:03,12,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:31,00:00:29,00:00:03,14,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,20,-63,194,31.3,24.4,MISS Thompson 20' Jump Shot
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:28,00:00:32,00:00:03,15,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:17,00:00:43,00:00:11,16,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Step Back Jump Shot,14,-136,8,11.4,88.2,DeRozan 14' Step Back Jump Shot (2 PTS)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:00,00:01:00,00:00:17,17,GSW,miss,,,,Bryn Forbes,,,,,,Kevin Durant,0,,,missed,,unknown,2,-5,22,25.5,7.2,"MISS Durant 2' Cutting Layup Shot, Forbes BLOCK (1 BLK)"
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:00,00:01:00,00:00:00,19,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Warriors Rebound
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:10:58,00:01:02,00:00:02,21,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Jump Shot,18,-172,40,42.2,9.0,MISS Thompson 18' Jump Shot
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:10:55,00:01:05,00:00:03,22,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:2)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,5,00:10:48,00:01:12,00:00:07,23,SAS,shot,Derrick White,,,,,,,,,LaMarcus Aldridge,3,,,made,,Jump Shot,25,-172,186,7.8,70.4,Aldridge 25' 3PT Jump Shot (3 PTS) (White 1 AST)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,2,5,00:10:39,00:01:21,00:00:09,25,GSW,shot,Stephen Curry,,,,,,,,,Andrew Bogut,2,,,made,,Alley Oop Dunk,1,-2,11,25.2,6.1,Bogut 1' Alley Oop Dunk (2 PTS) (Curry 1 AST)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,2,5,00:10:25,00:01:35,00:00:14,27,SAS,miss,,,,,,,,,,DeMar DeRozan,0,,,missed,,Step Back Jump Shot,17,168,5,41.8,88.5,MISS DeRozan 17' Step Back Jump Shot
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,2,5,00:10:22,00:01:38,00:00:03,28,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021801055""",2018-2019 Regular Season,2019-03-18,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,5,5,00:10:11,00:01:49,00:00:11,29,GSW,shot,Klay Thompson,,,,,,,,,Draymond Green,3,,,made,,Jump Shot,26,79,243,17.1,29.3,Green 26' 3PT Jump Shot (3 PTS) (Thompson 1 AST)
