game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Dwight Powell,,,,,,,Dwight Powell,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Powell vs. Davis: Tip to Payton
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:46,00:00:14,00:00:14,7,NOP,miss,,,,,,,,,,Frank Jackson,0,,,missed,,Jump Shot,25,-134,211,38.4,26.1,MISS Jackson 25' 3PT Jump Shot
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:43,00:00:17,00:00:03,8,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:30,00:00:30,00:00:13,9,DAL,miss,,,,,,,,,,Luka Doncic,0,,,missed,,Driving Finger Roll Layup,1,-3,10,24.7,88.0,MISS Doncic 1' Driving Finger Roll Layup
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:27,00:00:33,00:00:03,10,NOP,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:20,00:00:40,00:00:07,11,NOP,miss,,,,,,,,,,Kenrich Williams,0,,,missed,,Jump Shot,25,-152,194,40.2,24.4,MISS Williams 25' 3PT Jump Shot
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:17,00:00:43,00:00:03,12,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:13,00:00:47,00:00:04,13,DAL,turnover,,,,,,,,,,Tim Hardaway Jr.,,,,,,unknown,,,,,,Hardaway Jr. Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801056""",2018-2019 Regular Season,2019-03-18,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,Tim Hardaway Jr.,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:10:56,00:01:04,00:00:17,14,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Driving Finger Roll Layup,5,20,42,23.0,9.2,MISS Payton 5' Driving Finger Roll Layup
