game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Myles Turner,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Al-Farouq Aminu,,,,jump ball,,,,,,Jump Ball Nurkic vs. Turner: Tip to Aminu
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:11:37,00:00:23,00:00:23,7,POR,miss,,,,,,,,,,Jake Layman,0,,,missed,,Driving Hook Shot,7,10,69,26.0,82.1,MISS Layman 7' Driving Hook Shot
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:11:33,00:00:27,00:00:04,8,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:0)
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:11:27,00:00:33,00:00:06,9,IND,foul,,,,,,,,Jusuf Nurkic,,Myles Turner,,,s.foul,,,s.foul,,,,,,Turner S.FOUL (P1.T1) (M.Smith)
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,1,00:11:27,00:00:33,00:00:00,11,POR,free throw,,,,,,,1,,2,Jusuf Nurkic,1,,,made,,Free Throw 1 of 2,,,,,,Nurkic Free Throw 1 of 2 (1 PTS)
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,2,00:11:27,00:00:33,00:00:00,12,POR,free throw,,,,,,,2,,2,Jusuf Nurkic,1,,,made,,Free Throw 2 of 2,,,,,,Nurkic Free Throw 2 of 2 (2 PTS)
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,2,00:11:05,00:00:55,00:00:22,13,IND,miss,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,Turnaround Fadeaway ,11,95,59,15.5,10.9,MISS Bogdanovic 11' Turnaround Fadeaway Shot
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,2,00:11:03,00:00:57,00:00:02,14,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:1 Def:1)
"=""0021801058""",2018-2019 Regular Season,2019-03-18,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,2,00:10:50,00:01:10,00:00:13,15,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Pullup Jump Shot,20,-72,185,17.8,70.5,MISS Lillard 20' Pullup Jump Shot
