game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Andrew Bogut,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Draymond Green,,,,jump ball,,,,,,Jump Ball Towns vs. Bogut: Tip to Green
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,0,00:11:47,00:00:13,00:00:13,7,GSW,shot,Kevin Durant,,,,,,,,,Klay Thompson,3,,,made,,Jump Shot,25,144,206,10.6,25.6,Thompson 25' 3PT Jump Shot (3 PTS) (Durant 1 AST)
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,0,00:11:19,00:00:41,00:00:28,9,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,18,-118,137,13.2,75.3,MISS Towns 18' Jump Shot
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,0,00:11:18,00:00:42,00:00:01,10,GSW,rebound,,,,,,,,,,Klay Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,5,0,00:11:12,00:00:48,00:00:06,11,GSW,shot,Draymond Green,,,,,,,,,Kevin Durant,2,,,made,,Pullup Jump Shot,16,91,130,15.9,18.0,Durant 16' Pullup Jump Shot (2 PTS) (Green 1 AST)
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,5,0,00:10:48,00:01:12,00:00:24,12,GSW,foul,,,,,,,,Dario Saric,,Draymond Green,,,s.foul,,,s.foul,,,,,,Green S.FOUL (P1.T1) (T.Brown)
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,5,1,00:10:48,00:01:12,00:00:00,14,MIN,free throw,,,,,,,1,,2,Dario Saric,1,,,made,,Free Throw 1 of 2,,,,,,Saric Free Throw 1 of 2 (1 PTS)
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,5,2,00:10:48,00:01:12,00:00:00,15,MIN,free throw,,,,,,,2,,2,Dario Saric,1,,,made,,Free Throw 2 of 2,,,,,,Saric Free Throw 2 of 2 (2 PTS)
"=""0021801062""",2018-2019 Regular Season,2019-03-19,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,7,2,00:10:38,00:01:22,00:00:10,16,GSW,shot,Stephen Curry,,,,,,,,,Klay Thompson,2,,,made,,Fadeaway Jumper,9,0,94,25.0,14.4,Thompson 9' Fadeaway Jumper (5 PTS) (Curry 1 AST)
