game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Joe Harris,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Allen: Tip to Harris
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:42,00:00:18,00:00:18,7,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Fadeaway Jumper,17,6,172,24.4,22.2,MISS Russell 17' Fadeaway Jumper
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:38,00:00:22,00:00:04,8,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:19,00:00:41,00:00:19,10,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,24,239,32,48.9,85.8,MISS Fox 24' 3PT Jump Shot
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:17,00:00:43,00:00:02,11,BKN,rebound,,,,,,,,,,Rodions Kurucs,,,,,,rebound defensive,,,,,,Kurucs REBOUND (Off:0 Def:1)
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:09,00:00:51,00:00:08,12,BKN,miss,,,,,,,,,,Jarrett Allen,0,,,missed,,Hook Shot,4,-24,38,27.4,8.8,MISS Allen 4' Hook Shot
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:11:06,00:00:54,00:00:03,13,SAC,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound defensive,,,,,,Bjelica REBOUND (Off:0 Def:1)
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:10:58,00:01:02,00:00:08,44,SAC,turnover,,,,,,,,,,Harrison Barnes,,,bad pass ,,Joe Harris,bad pass ,,,,,,"Harris STEAL (1 STL), Barnes Bad Pass Turnover (P1.T1)"
"=""0021801063""",2018-2019 Regular Season,2019-03-19,Joe Harris,Rodions Kurucs,Jarrett Allen,Caris LeVert,D'Angelo Russell,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,0,00:10:37,00:01:23,00:00:21,16,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,Fadeaway Jumper,13,14,132,23.6,18.2,Russell 13' Fadeaway Jumper (2 PTS)
