game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Bam Adebayo,Jakob Poeltl,,,,,,,Jakob Poeltl,,Kelly Olynyk,,,,jump ball,,,,,,Jump Ball Poeltl vs. Adebayo: Tip to Olynyk
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:47,00:00:13,00:00:13,7,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,26,176,195,7.4,24.5,MISS Richardson 26' 3PT Jump Shot
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:42,00:00:18,00:00:05,8,SAS,rebound,,,,,,,,,,DeMar DeRozan,,,,,,rebound defensive,,,,,,DeRozan REBOUND (Off:0 Def:1)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:32,00:00:28,00:00:10,9,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,unknown,8,37,69,28.7,82.1,MISS White 8' Driving Floating Jump Shot
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:28,00:00:32,00:00:04,10,MIA,rebound,,,,,,,,,,Josh Richardson,,,,,,rebound defensive,,,,,,Richardson REBOUND (Off:0 Def:1)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:15,00:00:45,00:00:13,11,MIA,miss,,,,,,,,,,Derrick Jones Jr.,0,,,missed,,Jump Shot,25,7,248,24.3,29.8,MISS Jones Jr. 25' 3PT Jump Shot
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:11,00:00:49,00:00:04,12,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:0)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:04,00:00:56,00:00:07,13,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,19,-187,-15,43.7,3.5,MISS Richardson 19' Jump Shot
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:11:00,00:01:00,00:00:04,14,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:10:48,00:01:12,00:00:12,15,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,unknown,10,97,31,34.7,85.9,MISS Forbes 10' Driving Floating Bank Jump Shot
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:10:46,00:01:14,00:00:02,16,MIA,rebound,,,,,,,,,,Derrick Jones Jr.,,,,,,rebound defensive,,,,,,Jones Jr. REBOUND (Off:0 Def:1)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,0,00:10:33,00:01:27,00:00:13,17,MIA,shot,Bam Adebayo,,,,,,,,,Dion Waiters,3,,,made,,Jump Shot,23,-233,-4,48.3,4.6,Waiters  3PT Jump Shot (3 PTS) (Adebayo 1 AST)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,0,00:10:22,00:01:38,00:00:11,20,MIA,foul,,,,,,,,DeMar DeRozan,,Dion Waiters,,,p.foul,,,p.foul,,,,,,Waiters P.FOUL (P1.T1) (B.Taylor)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:10:15,00:01:45,00:00:07,22,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Floating Jump Shot,11,57,95,30.7,79.5,DeRozan 11' Floating Jump Shot (2 PTS)
"=""0021801071""",2018-2019 Regular Season,2019-03-20,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:09:58,00:02:02,00:00:17,23,MIA,miss,,,,,,,,,,Kelly Olynyk,0,,,missed,,Jump Shot,25,-171,183,42.1,23.3,MISS Olynyk 25' 3PT Jump Shot
