game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Bismack Biyombo,,,,,,,Bismack Biyombo,,Dario Saric,,,,jump ball,,,,,,Jump Ball Biyombo vs. Towns: Tip to Saric
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:46,00:00:14,00:00:14,7,MIN,shot,Karl-Anthony Towns,,,,,,,,,Tyus Jones,2,,,made,,Floating Jump Shot,14,56,126,19.4,17.6,Jones 14' Floating Jump Shot (2 PTS) (Towns 1 AST)
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:26,00:00:34,00:00:20,9,CHA,miss,,,,,,,,,,Dwayne Bacon,0,,,missed,,unknown,5,-7,46,24.3,84.4,MISS Bacon 5' Driving Floating Bank Jump Shot
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:23,00:00:37,00:00:03,10,MIN,rebound,,,,,,,,,,Josh Okogie,,,,,,rebound defensive,,,,,,Okogie REBOUND (Off:0 Def:1)
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:15,00:00:45,00:00:08,11,MIN,miss,,,,Marvin Williams,,,,,,Andrew Wiggins,0,,,missed,,unknown,3,18,20,23.2,7.0,"MISS Wiggins 3' Driving Layup, Williams BLOCK (1 BLK)"
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:15,00:00:45,00:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Timberwolves Rebound
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:01,00:00:59,00:00:14,15,MIN,miss,,,,,,,,,,Dario Saric,0,,,missed,,Pullup Jump Shot,14,55,130,19.5,18.0,MISS Saric 14' Pullup Jump Shot
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:10:58,00:01:02,00:00:03,16,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021801074""",2018-2019 Regular Season,2019-03-21,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,3,00:10:51,00:01:09,00:00:07,17,CHA,shot,Miles Bridges,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,25,145,207,39.5,68.3,Williams 25' 3PT Jump Shot (3 PTS) (Bridges 1 AST)
