game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Ricky Rubio,,,,jump ball,,,,,,Jump Ball Dedmon vs. Gobert: Tip to Rubio
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,0,00:11:48,00:00:12,00:00:12,7,UTA,turnover,,,,,,,,,,Ricky Rubio,,,,,,unknown,,,,,,Rubio Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,0,2,00:11:30,00:00:30,00:00:18,8,ATL,shot,John Collins,,,,,,,,,Taurean Prince,2,,,made,,Pullup Jump Shot,13,-82,106,16.8,78.4,Prince 13' Pullup Jump Shot (2 PTS) (Collins 1 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:11:16,00:00:44,00:00:14,9,UTA,shot,Rudy Gobert,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,1,5,10,24.5,6.0,Mitchell 1' Driving Layup (2 PTS) (Gobert 1 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:11:02,00:00:58,00:00:14,10,ATL,miss,,,,,,,,,,Kevin Huerter,0,,,missed,,Pullup Jump Shot,25,127,211,37.7,67.9,MISS Huerter 25' 3PT Pullup Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:10:59,00:01:01,00:00:03,11,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:10:55,00:01:05,00:00:04,12,ATL,foul,,,,,,,,Donovan Mitchell,,Kevin Huerter,,,p.foul,,,p.foul,,,,,,Huerter P.FOUL (P1.T1) (K.Cutler)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:10:47,00:01:13,00:00:08,14,UTA,turnover,,,,,,,,,,Derrick Favors,,,lost ball ,,John Collins,lost ball ,,,,,,"Favors Lost Ball Turnover (P1.T2), Collins STEAL (1 STL)"
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:10:41,00:01:19,00:00:06,16,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Running Jump Shot,25,9,253,25.9,63.7,MISS Collins 25' 3PT Running Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,2,2,00:10:37,00:01:23,00:00:04,17,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,2,00:10:30,00:01:30,00:00:07,18,UTA,shot,Ricky Rubio,,,,,,,,,Derrick Favors,2,,,made,,Jump Shot,12,41,111,20.9,16.1,Favors 12' Jump Shot (2 PTS) (Rubio 1 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,4,2,00:10:19,00:01:41,00:00:11,20,ATL,turnover,,,,,,,,,,Trae Young,,,,,,unknown,,,,,,Young Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,2,00:10:06,00:01:54,00:00:13,21,UTA,shot,Ricky Rubio,,,,,,,,,Derrick Favors,2,,,made,,Alley Oop Dunk,1,0,10,25.0,6.0,Favors 1' Alley Oop Dunk (4 PTS) (Rubio 2 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,6,5,00:09:49,00:02:11,00:00:17,23,ATL,shot,Trae Young,,,,,,,,,Taurean Prince,3,,,made,,Step Back Jump Shot,23,-227,13,2.3,87.7,Prince  3PT Step Back Jump Shot (5 PTS) (Young 1 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,9,5,00:09:36,00:02:24,00:00:13,25,UTA,shot,Ricky Rubio,,,,,,,,,Joe Ingles,3,,,made,,Jump Shot,23,226,26,2.4,7.6,Ingles  3PT Jump Shot (3 PTS) (Rubio 3 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,9,8,00:09:24,00:02:36,00:00:12,27,ATL,shot,Trae Young,,,,,,,,,Dewayne Dedmon,3,,,made,,Jump Shot,25,-47,246,20.3,64.4,Dedmon 25' 3PT Jump Shot (3 PTS) (Young 2 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,9,8,00:09:11,00:02:49,00:00:13,29,UTA,foul,,,,,,,,Taurean Prince,,Joe Ingles,,,off.foul,,,off.foul,,,,,,Ingles OFF.Foul (P1) (B.Nansel)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,9,8,00:09:11,00:02:49,00:00:00,31,UTA,turnover,,,,,,,,,,Joe Ingles,,,offensive foul turnover,,,offensive foul turnover,,,,,,Ingles Offensive Foul Turnover (P1.T3)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,9,8,00:09:01,00:02:59,00:00:10,32,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,unknown,13,-6,125,24.4,76.5,MISS Young 13' Driving Floating Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,9,8,00:08:58,00:03:02,00:00:03,33,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:2)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,8,00:08:52,00:03:08,00:00:06,34,UTA,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Pullup Jump Shot,19,-115,146,36.5,19.6,Rubio 19' Pullup Jump Shot (2 PTS)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:08:33,00:03:27,00:00:19,35,ATL,shot,Taurean Prince,,,,,,,,,Kevin Huerter,2,,,made,,Pullup Jump Shot,12,-15,116,23.5,77.4,Huerter 12' Pullup Jump Shot (2 PTS) (Prince 1 AST)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:08:11,00:03:49,00:00:22,37,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Pullup Jump Shot,11,13,107,23.7,15.7,MISS Mitchell 11' Pullup Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:08:06,00:03:54,00:00:05,38,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound offensive,,,,,,Favors REBOUND (Off:1 Def:0)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:08:06,00:03:54,00:00:00,39,UTA,miss,,,,Dewayne Dedmon,,,,,,Derrick Favors,0,,,missed,,Putback Layup,1,0,-6,25.0,4.4,"MISS Favors 1' Putback Layup, Dedmon BLOCK (1 BLK)"
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:08:06,00:03:54,00:00:00,41,ATL,rebound,,,,,,,,,,Kevin Huerter,,,,,,rebound defensive,,,,,,Huerter REBOUND (Off:0 Def:1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:08:02,00:03:58,00:00:04,42,ATL,turnover,,,,,,,,,,Kevin Huerter,,,bad pass ,,Joe Ingles,bad pass ,,,,,,"Ingles STEAL (1 STL), Huerter Bad Pass Turnover (P1.T2)"
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:07:58,00:04:02,00:00:04,44,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Running Jump Shot,24,-159,185,40.9,23.5,MISS Rubio 24' 3PT Running Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:07:53,00:04:07,00:00:05,45,ATL,rebound,,,,,,,,,,Trae Young,,,,,,rebound defensive,,,,,,Young REBOUND (Off:0 Def:1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:07:43,00:04:17,00:00:10,46,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,16,-40,152,21.0,73.8,MISS Collins 16' Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:07:40,00:04:20,00:00:03,47,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:2)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:07:32,00:04:28,00:00:08,48,UTA,miss,,,,,,,,,,Ricky Rubio,0,,,missed,,Pullup Jump Shot,15,-153,15,40.3,6.5,MISS Rubio 15' Pullup Jump Shot
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,10,00:07:29,00:04:31,00:00:03,49,ATL,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021801076""",2018-2019 Regular Season,2019-03-21,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,1,11,13,00:07:25,00:04:35,00:00:04,50,ATL,shot,,,,,,,,,,Taurean Prince,3,,,made,,Pullup Jump Shot,26,-65,251,18.5,63.9,Prince 26' 3PT Pullup Jump Shot (8 PTS)
