game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Jonas Valanciunas,Nikola Vucevic,,,,,,,Nikola Vucevic,,Jonathan Isaac,,,,jump ball,,,,,,Jump Ball Vucevic vs. Valanciunas: Tip to Isaac
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:48,00:00:12,00:00:12,7,ORL,miss,,,,Jonas Valanciunas,,,,,,Aaron Gordon,0,,,missed,,unknown,7,50,45,30.0,84.5,"Valanciunas BLOCK (1 BLK), MISS Gordon 7' Driving Layup"
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:48,00:00:12,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,MAGIC Rebound
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:46,00:00:14,00:00:02,11,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,unknown,2,16,5,26.6,88.5,MISS Vucevic 2' Driving Layup
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:44,00:00:16,00:00:02,12,MEM,rebound,,,,,,,,,,Delon Wright,,,,,,rebound defensive,,,,,,Wright REBOUND (Off:0 Def:1)
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:32,00:00:28,00:00:12,13,MEM,miss,,,,,,,,,,Bruno Caboclo,0,,,missed,,unknown,7,44,60,20.6,11.0,MISS Caboclo 7' Driving Floating Bank Jump Shot
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:29,00:00:31,00:00:03,14,ORL,rebound,,,,,,,,,,Jonathan Isaac,,,,,,rebound defensive,,,,,,Isaac REBOUND (Off:0 Def:1)
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:15,00:00:45,00:00:14,15,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,unknown,14,71,124,32.1,76.6,MISS Fournier 14' Driving Floating Jump Shot
"=""0021801080""",2018-2019 Regular Season,2019-03-22,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Delon Wright,Tyler Dorsey,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,1,0,0,00:11:12,00:00:48,00:00:03,16,MEM,rebound,,,,,,,,,,Delon Wright,,,,,,rebound defensive,,,,,,Wright REBOUND (Off:0 Def:2)
