game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Ivica Zubac,Ante Zizic,,,,,,,Ante Zizic,,Landry Shamet,,,,jump ball,,,,,,Jump Ball Zizic vs. Zubac: Tip to Shamet
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:47,00:00:13,00:00:13,7,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Step Back Jump Shot,25,111,227,13.9,27.7,MISS Gallinari 25' 3PT Step Back Jump Shot
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:46,00:00:14,00:00:01,8,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound defensive,,,,,,Zizic REBOUND (Off:0 Def:1)
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,2,00:11:26,00:00:34,00:00:20,9,CLE,shot,,,,,,,,,,Kevin Love,2,,,made,,unknown,18,-158,85,9.2,80.5,Love 18' Turnaround Fadeaway Bank Jump Shot (2 PTS)
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,2,00:10:59,00:01:01,00:00:27,10,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,Clippers Turnover: Shot Clock (T#1)
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,4,00:10:37,00:01:23,00:00:22,11,CLE,shot,Collin Sexton,,,,,,,,,Brandon Knight,2,,,made,,Pullup Jump Shot,18,-181,16,6.9,87.4,Knight 18' Pullup Jump Shot (2 PTS) (Sexton 1 AST)
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,4,00:10:22,00:01:38,00:00:15,13,LAC,miss,,,,,,,,,,Patrick Beverley,0,,,missed,,Driving Reverse Layup,1,1,5,24.9,5.5,MISS Beverley 1' Driving Reverse Layup
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,4,00:10:20,00:01:40,00:00:02,14,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021801081""",2018-2019 Regular Season,2019-03-22,Landry Shamet,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Cedi Osman,Kevin Love,Ante Zizic,Brandon Knight,Collin Sexton,1,0,6,00:10:10,00:01:50,00:00:10,15,CLE,shot,,,,,,,,,,Collin Sexton,2,,,made,,Pullup Jump Shot,15,-107,99,14.3,79.1,Sexton 15' Pullup Jump Shot (2 PTS)
