game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:12:00,0:00:00,0:00:00,4,DEN,jump ball,,Nikola Jokic,DeAndre Jordan,,,,,,,DeAndre Jordan,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Jordan vs. Jokic: Tip to Murray
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:43,0:00:17,0:00:17,7,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Jump Shot,25,-156,194,40.6,24.4,MISS Millsap 25' 3PT Jump Shot
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:41,0:00:19,0:00:02,8,NYK,rebound,,,,,,,,,,Emmanuel Mudiay,,,,,,rebound defensive,,,,,,Mudiay REBOUND (Off:0 Def:1)
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:27,0:00:33,0:00:14,9,NYK,miss,,,,,,,,,,Damyean Dotson,0,,,missed,,Jump Shot,23,226,28,47.6,86.2,MISS Dotson  3PT Jump Shot
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:25,0:00:35,0:00:02,10,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:16,0:00:44,0:00:09,11,DEN,miss,,,,,,,,,,Paul Millsap,0,,,missed,,Hook Shot,8,66,48,18.4,9.8,MISS Millsap 8' Hook Shot
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:14,0:00:46,0:00:02,12,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:08,0:00:52,0:00:06,13,NYK,turnover,,,,,,,,,,DeAndre Jordan,,,,,,unknown,,,,,,Jordan Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
0021801082,2018-2019 Regular Season,3/22/2019,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,0,0:10:52,0:01:08,0:00:16,14,DEN,shot,Nikola Jokic,,,,,,,,,Paul Millsap,2,,,made,,Dunk,0,3,4,24.7,5.4,Millsap 1' Dunk (2 PTS) (Jokic 1 AST)
