game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Bam Adebayo,Brook Lopez,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Lopez vs. Adebayo: Tip to Antetokounmpo
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,2,00:11:47,00:00:13,00:00:13,7,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Turnaround Hook Shot,4,9,41,25.9,84.9,Antetokounmpo 4' Turnaround Hook Shot (2 PTS) (Middleton 1 AST)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,2,00:11:47,00:00:13,00:00:00,9,MIA,foul,,,,,,,,Giannis Antetokounmpo,,Kelly Olynyk,,,s.foul,,,s.foul,,,,,,Olynyk S.FOUL (P1.T1) (E.Dalen)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,3,00:11:47,00:00:13,00:00:00,11,MIL,free throw,,,,,,,1,,1,Giannis Antetokounmpo,1,,,made,,Free Throw 1 of 1,,,,,,Antetokounmpo Free Throw 1 of 1 (3 PTS)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,3,00:11:28,00:00:32,00:00:19,12,MIA,turnover,,,,,,,,,,Kelly Olynyk,,,lost ball ,,Tony Snell,lost ball ,,,,,,"Olynyk Lost Ball Turnover (P1.T1), Snell STEAL (1 STL)"
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,3,00:11:19,00:00:41,00:00:09,14,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Jump Shot,28,-81,273,16.9,61.7,MISS Middleton 28' 3PT Jump Shot
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,3,00:11:16,00:00:44,00:00:03,15,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,3,00:11:15,00:00:45,00:00:01,16,MIA,turnover,,,,,,,,,,Dion Waiters,,,,,,unknown,,,,,,Waiters Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,3,00:11:03,00:00:57,00:00:12,17,MIL,turnover,,,,,,,,,,Eric Bledsoe,,,,,,unknown,,,,,,Bledsoe Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,2,3,00:10:51,00:01:09,00:00:12,18,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,Jump Shot,16,64,152,18.6,20.2,Adebayo 16' Jump Shot (2 PTS)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,2,3,00:10:34,00:01:26,00:00:17,19,MIL,turnover,,,,,,,,,,Brook Lopez,,,lost ball ,,,lost ball ,,,,,,Lopez Lost Ball Turnover (P1.T2)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,2,3,00:10:34,00:01:26,00:00:00,20,MIL,foul,,,,,,,,Bam Adebayo,,Brook Lopez,,,l.b.foul,,,l.b.foul,,,,,,Lopez L.B.FOUL (P1.T1) (T.Washington)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,5,3,00:10:15,00:01:45,00:00:19,22,MIA,shot,Derrick Jones Jr.,,,,,,,,,Dion Waiters,3,,,made,,Jump Shot,27,-99,256,34.9,30.6,Waiters 27' 3PT Jump Shot (3 PTS) (Jones Jr. 1 AST)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,5,5,00:10:04,00:01:56,00:00:11,24,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,unknown,3,5,30,25.5,86.0,Antetokounmpo 3' Driving Layup (5 PTS) (Middleton 2 AST)
"=""0021801085""",2018-2019 Regular Season,2019-03-22,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Josh Richardson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,8,5,00:09:45,00:02:15,00:00:19,26,MIA,shot,Josh Richardson,,,,,,,,,Derrick Jones Jr.,3,,,made,,Jump Shot,28,-148,232,39.8,28.2,Jones Jr. 28' 3PT Jump Shot (3 PTS) (Richardson 1 AST)
