game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Jarrett Allen,JaVale McGee,,,,,,,JaVale McGee,,Rajon Rondo,,,,jump ball,,,,,,Jump Ball McGee vs. Allen: Tip to Rondo
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,0,2,00:11:43,00:00:17,00:00:17,7,LAL,shot,LeBron James,,,,,,,,,JaVale McGee,2,,,made,,Hook Shot,2,14,6,26.4,88.4,McGee 2' Hook Shot (2 PTS) (James 1 AST)
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,0,2,00:11:22,00:00:38,00:00:21,9,BKN,miss,,,,,,,,,,DeMarre Carroll,0,,,missed,,Jump Shot,26,-129,224,37.9,27.4,MISS Carroll 26' 3PT Jump Shot
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,0,2,00:11:20,00:00:40,00:00:02,10,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:1 Def:0)
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,2,2,00:11:20,00:00:40,00:00:00,11,BKN,shot,,,,,,,,,,Jarrett Allen,2,,,made,,Dunk,2,8,17,24.2,6.7,Allen 2' Dunk (2 PTS)
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,2,2,00:11:09,00:00:51,00:00:11,13,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Reverse Layup,2,-12,16,23.8,87.4,MISS Kuzma 2' Reverse Layup
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,2,2,00:11:08,00:00:52,00:00:01,14,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:1 Def:1)
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,2,2,00:11:06,00:00:54,00:00:02,15,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Layup,1,-4,8,25.4,5.8,MISS Russell 1' Layup
"=""0021801086""",2018-2019 Regular Season,2019-03-22,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,LeBron James,Kyle Kuzma,JaVale McGee,Reggie Bullock,Rajon Rondo,1,2,2,00:11:06,00:00:54,00:00:00,16,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound offensive,,,,,,Allen REBOUND (Off:2 Def:1)
