game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Robert Williams III,Bismack Biyombo,,,,,,,Bismack Biyombo,,Marcus Morris,,,,jump ball,,,,,,Jump Ball Biyombo vs. Williams III: Tip to Morris
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:43,00:00:17,00:00:17,7,BOS,shot,Marcus Smart,,,,,,,,,Kyrie Irving,2,,,made,,unknown,1,5,-4,24.5,4.6,Irving 1' Driving Floating Bank Jump Shot (2 PTS) (Smart 1 AST)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:29,00:00:31,00:00:14,9,CHA,miss,,,,Robert Williams III,,,,,,Dwayne Bacon,0,,,missed,,Layup,2,-11,13,23.9,87.7,"Williams III BLOCK (1 BLK), MISS Bacon 2' Layup"
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:29,00:00:31,00:00:00,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HORNETS Rebound
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:22,00:00:38,00:00:07,13,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Jump Shot,25,5,251,25.5,63.9,MISS Walker 25' 3PT Jump Shot
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:19,00:00:41,00:00:03,14,BOS,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:13,00:00:47,00:00:06,15,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Floating Jump Shot,5,2,48,24.8,9.8,MISS Irving 5' Floating Jump Shot
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,0,00:11:10,00:00:50,00:00:03,16,CHA,rebound,,,,,,,,,,Dwayne Bacon,,,,,,rebound defensive,,,,,,Bacon REBOUND (Off:0 Def:1)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:11:02,00:00:58,00:00:08,17,CHA,shot,Marvin Williams,,,,,,,,,Bismack Biyombo,2,,,made,,Dunk,1,3,5,25.3,88.5,Biyombo 1' Dunk (2 PTS) (Williams 1 AST)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:10:39,00:01:21,00:00:23,20,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Jump Shot,20,44,191,20.6,24.1,MISS Tatum 20' Jump Shot
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:10:36,00:01:24,00:00:03,21,CHA,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:1)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:10:32,00:01:28,00:00:04,22,BOS,foul,,,,,,,,Kemba Walker,,Robert Williams III,,,p.foul,,,p.foul,,,,,,Williams III P.FOUL (P1.T1) (C.Washington)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,5,00:10:16,00:01:44,00:00:16,24,CHA,shot,,,,,,,,,,Miles Bridges,3,,,made,,Jump Shot,25,145,204,39.5,68.6,Bridges 25' 3PT Jump Shot (3 PTS)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,4,5,00:09:50,00:02:10,00:00:26,25,BOS,shot,Robert Williams III,,,,,,,,,Marcus Morris,2,,,made,,Jump Shot,22,109,191,14.1,24.1,Morris 22' Jump Shot (2 PTS) (Williams III 1 AST)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,4,8,00:09:32,00:02:28,00:00:18,27,CHA,shot,Dwayne Bacon,,,,,,,,,Miles Bridges,3,,,made,,Jump Shot,22,-222,10,2.8,88.0,Bridges  3PT Jump Shot (6 PTS) (Bacon 1 AST)
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,4,8,00:09:21,00:02:39,00:00:11,29,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Jump Shot,23,234,13,1.6,6.3,MISS Tatum  3PT Jump Shot
"=""0021801087""",2018-2019 Regular Season,2019-03-23,Jayson Tatum,Marcus Morris,Robert Williams III,Marcus Smart,Kyrie Irving,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,4,8,00:09:18,00:02:42,00:00:03,30,CHA,rebound,,,,,,,,,,Dwayne Bacon,,,,,,rebound defensive,,,,,,Bacon REBOUND (Off:0 Def:2)
