game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Dwight Powell,DeMarcus Cousins,,,,,,,DeMarcus Cousins,,Draymond Green,,,,jump ball,,,,,,Jump Ball Cousins vs. Powell: Tip to Green
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,0,0,00:11:46,00:00:14,00:00:14,7,GSW,miss,,,,,,,,,,Kevin Durant,0,,,missed,,Jump Shot,18,70,163,32.0,72.7,MISS Durant 18' Jump Shot
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,0,0,00:11:45,00:00:15,00:00:01,8,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,2,0,00:11:30,00:00:30,00:00:15,9,DAL,shot,Luka Doncic,,,,,,,,,Dirk Nowitzki,2,,,made,,Jump Shot,22,119,183,13.1,23.3,Nowitzki 22' Jump Shot (2 PTS) (Doncic 1 AST)
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,2,0,00:11:16,00:00:44,00:00:14,11,GSW,miss,,,,,,,,,,Klay Thompson,0,,,missed,,Fadeaway Jumper,20,75,180,32.5,71.0,MISS Thompson 20' Fadeaway Jumper
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,2,0,00:11:15,00:00:45,00:00:01,12,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:2)
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,5,0,00:10:56,00:01:04,00:00:19,13,DAL,shot,Justin Jackson,,,,,,,,,Dirk Nowitzki,3,,,made,,Jump Shot,27,0,266,25.0,31.6,Nowitzki 27' 3PT Jump Shot (5 PTS) (Jackson 1 AST)
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,5,2,00:10:35,00:01:25,00:00:21,15,GSW,shot,,,,,,,,,,Kevin Durant,2,,,made,,Fadeaway Jumper,10,-100,2,15.0,88.8,Durant 10' Fadeaway Jumper (2 PTS)
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,7,2,00:10:21,00:01:39,00:00:14,16,DAL,shot,Luka Doncic,,,,,,,,,Jalen Brunson,2,,,made,,Turnaround Hook Shot,8,-6,75,25.6,12.5,Brunson 8' Turnaround Hook Shot (2 PTS) (Doncic 2 AST)
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,7,2,00:10:11,00:01:49,00:00:10,18,GSW,miss,,,,,,,,,,Quinn Cook,0,,,missed,,Turnaround Hook Shot,10,-67,75,18.3,81.5,MISS Cook 10' Turnaround Hook Shot
"=""0021801092""",2018-2019 Regular Season,2019-03-23,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Quinn Cook,1,7,2,00:10:10,00:01:50,00:00:01,19,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
