game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Deandre Ayton,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Buddy Hield,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Ayton: Tip to Hield
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:54,00:00:06,00:00:06,7,SAC,shot,,,,,,,,,,Buddy Hield,3,,,made,,Jump Shot,25,-206,150,4.4,74.0,Hield 25' 3PT Jump Shot (3 PTS)
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:38,00:00:22,00:00:16,8,PHX,miss,,,,,,,,,,Deandre Ayton,0,,,missed,,Alley Oop Dunk,2,8,16,24.2,6.6,MISS Ayton 2' Alley Oop Dunk
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:35,00:00:25,00:00:03,9,SAC,rebound,,,,,,,,,,De'Aaron Fox,,,,,,rebound defensive,,,,,,Fox REBOUND (Off:0 Def:1)
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:34,00:00:26,00:00:01,10,PHX,foul,,,,,,,,De'Aaron Fox,,Mikal Bridges,,,p.foul,,,p.foul,,,,,,Bridges P.FOUL (P1.T1) (L.Wood)
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:15,00:00:45,00:00:19,12,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Jump Shot,23,-233,-7,1.7,89.7,MISS Bjelica  3PT Jump Shot
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:12,00:00:48,00:00:03,13,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:00,00:01:00,00:00:12,14,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,Pullup Jump Shot,7,71,21,17.9,7.1,MISS Booker 7' Pullup Jump Shot
"=""0021801094""",2018-2019 Regular Season,2019-03-23,Mikal Bridges,Dragan Bender,Deandre Ayton,De'Anthony Melton,Devin Booker,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:10:56,00:01:04,00:00:04,15,SAC,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound defensive,,,,,,Bjelica REBOUND (Off:0 Def:1)
