game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Ivica Zubac,DeAndre Jordan,,,,,,,DeAndre Jordan,,Mario Hezonja,,,,jump ball,,,,,,Jump Ball Jordan vs. Zubac: Tip to Hezonja
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:11:45,00:00:15,00:00:15,7,NYK,miss,,,,,,,,,,Damyean Dotson,0,,,missed,,Jump Shot,25,123,218,37.3,67.2,MISS Dotson 25' 3PT Jump Shot
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:11:43,00:00:17,00:00:02,8,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:25,00:00:35,00:00:18,9,LAC,shot,Landry Shamet,,,,,,,,,Patrick Beverley,3,,,made,,Jump Shot,26,133,224,11.7,27.4,Beverley 26' 3PT Jump Shot (3 PTS) (Shamet 1 AST)
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:10,00:00:50,00:00:15,11,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,unknown,3,24,10,27.4,88.0,MISS Knox 3' Driving Layup
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:09,00:00:51,00:00:01,12,LAC,rebound,,,,,,,,,,Shai Gilgeous-Alexander,,,,,,rebound defensive,,,,,,Gilgeous-Alexander REBOUND (Off:0 Def:1)
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:04,00:00:56,00:00:05,13,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,unknown,1,-9,1,25.9,5.1,MISS Gilgeous-Alexander 1' Driving Layup
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:02,00:00:58,00:00:02,14,LAC,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound offensive,,,,,,Beverley REBOUND (Off:1 Def:0)
"=""0021801095""",2018-2019 Regular Season,2019-03-24,Danilo Gallinari,Landry Shamet,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:10:58,00:01:02,00:00:04,15,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,Jump Shot,23,-233,-8,48.3,4.2,MISS Gilgeous-Alexander  3PT Jump Shot
