game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Larry Nance Jr.,Brook Lopez,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Lopez vs. Nance Jr.: Tip to Antetokounmpo
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,2,00:11:34,00:00:26,00:00:26,7,MIL,shot,,,,,,,,,,Khris Middleton,2,,,made,,Turnaround Fadeaway ,8,79,8,32.9,88.2,Middleton 8' Turnaround Fadeaway (2 PTS)
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,2,00:11:18,00:00:42,00:00:16,8,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,27,-156,216,40.6,26.6,MISS Love 27' 3PT Jump Shot
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,2,00:11:15,00:00:45,00:00:03,9,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,0,5,00:11:04,00:00:56,00:00:11,10,MIL,shot,Eric Bledsoe,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,27,-212,165,3.8,72.5,Lopez 27' 3PT Jump Shot (3 PTS) (Bledsoe 1 AST)
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,3,5,00:10:48,00:01:12,00:00:16,12,CLE,shot,Kevin Love,,,,,,,,,Larry Nance Jr.,3,,,made,,Jump Shot,27,82,262,16.8,31.2,Nance Jr. 27' 3PT Jump Shot (3 PTS) (Love 1 AST)
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,3,8,00:10:38,00:01:22,00:00:10,14,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Brook Lopez,3,,,made,,Jump Shot,27,-231,131,1.9,75.9,Lopez 27' 3PT Jump Shot (6 PTS) (Antetokounmpo 1 AST)
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,3,8,00:10:23,00:01:37,00:00:15,16,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,26,-144,216,39.4,26.6,MISS Love 26' 3PT Jump Shot
"=""0021801096""",2018-2019 Regular Season,2019-03-24,Cedi Osman,Larry Nance Jr.,Kevin Love,Brandon Knight,Collin Sexton,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Tony Snell,Eric Bledsoe,1,3,8,00:10:23,00:01:37,00:00:00,17,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Cavaliers Rebound
