game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,PJ Tucker,Anthony Davis,,,,,,,Anthony Davis,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Davis vs. Tucker: Tip to Tucker
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:11:37,00:00:23,00:00:23,7,HOU,shot,,,,,,,,,,James Harden,2,,,made,,unknown,5,5,50,24.5,10.0,Harden 5' Driving Layup (2 PTS)
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:11:24,00:00:36,00:00:13,9,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Fadeaway Jumper,6,-10,58,24.0,83.2,MISS Randle 6' Fadeaway Jumper
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:11:17,00:00:43,00:00:07,10,HOU,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:0 Def:1)
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:11:12,00:00:48,00:00:05,11,HOU,miss,,,,,,,,,,James Harden,0,,,missed,,Pullup Jump Shot,26,108,239,14.2,28.9,MISS Harden 26' 3PT Pullup Jump Shot
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:11:08,00:00:52,00:00:04,12,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,2,0,00:10:53,00:01:07,00:00:15,13,NOP,turnover,,,,,,,,,,Anthony Davis,,,bad pass ,,James Harden,bad pass ,,,,,,"Harden STEAL (1 STL), Davis Bad Pass Turnover (P1.T1)"
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,4,0,00:10:47,00:01:13,00:00:06,15,HOU,shot,,,,,,,,,,James Harden,2,,,made,,unknown,2,-1,21,25.1,7.1,Harden 2' Driving Layup (4 PTS)
"=""0021801099""",2018-2019 Regular Season,2019-03-24,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,Kenrich Williams,Anthony Davis,Julius Randle,Frank Jackson,Elfrid Payton,1,4,0,00:10:37,00:01:23,00:00:10,16,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Pullup Jump Shot,6,2,61,25.2,82.9,MISS Payton 6' Pullup Jump Shot
