game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Deandre Ayton,Rudy Gobert,,,,,,,Rudy Gobert,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Gobert vs. Ayton: Tip to Favors
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:11:47,00:00:13,00:00:13,7,UTA,miss,,,,Deandre Ayton,,,,,,Donovan Mitchell,0,,,missed,,Floating Jump Shot,6,48,41,29.8,84.9,"Ayton BLOCK (1 BLK), MISS Mitchell 6' Floating Jump Shot"
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:11:44,00:00:16,00:00:03,9,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,0,00:11:35,00:00:25,00:00:09,10,PHX,shot,,,,,,,,,,Devin Booker,3,,,made,,Step Back Jump Shot,23,225,30,2.5,8.0,Booker  3PT Step Back Jump Shot (3 PTS)
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,0,00:11:13,00:00:47,00:00:22,11,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,27,136,233,38.6,65.7,MISS Ingles 27' 3PT Jump Shot
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,0,00:11:09,00:00:51,00:00:04,12,PHX,rebound,,,,,,,,,,De'Anthony Melton,,,,,,rebound defensive,,,,,,Melton REBOUND (Off:0 Def:1)
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,0,00:10:54,00:01:06,00:00:15,13,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,Step Back Jump Shot,9,54,69,19.6,11.9,MISS Booker 9' Step Back Jump Shot
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,0,00:10:50,00:01:10,00:00:04,14,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound defensive,,,,,,Ingles REBOUND (Off:0 Def:1)
"=""0021801105""",2018-2019 Regular Season,2019-03-25,Mikal Bridges,Dragan Bender,Deandre Ayton,Devin Booker,De'Anthony Melton,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,3,2,00:10:43,00:01:17,00:00:07,15,UTA,shot,Joe Ingles,,,,,,,,,Rudy Gobert,2,,,made,,unknown,2,-8,15,24.2,87.5,Gobert 2' Cutting Layup Shot (2 PTS) (Ingles 1 AST)
