game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Jarrett Allen,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,DeMarre Carroll,,,,jump ball,,,,,,Jump Ball Nurkic vs. Allen: Tip to Carroll
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:11:44,00:00:16,00:00:16,7,BKN,miss,,,,,,,,,,D'Angelo Russell,0,,,missed,,Jump Shot,28,-179,212,42.9,26.2,MISS Russell 28' 3PT Jump Shot
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,0,00:11:43,00:00:17,00:00:01,8,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,0,3,00:11:34,00:00:26,00:00:09,9,POR,shot,,,,,,,,,,Damian Lillard,3,,,made,,Step Back Jump Shot,26,30,258,28.0,63.2,Lillard 26' 3PT Step Back Jump Shot (3 PTS)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:11:15,00:00:45,00:00:19,10,BKN,shot,Joe Harris,,,,,,,,,DeMarre Carroll,3,,,made,,Jump Shot,25,-141,210,39.1,26.0,Carroll 25' 3PT Jump Shot (3 PTS) (Harris 1 AST)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:10:51,00:01:09,00:00:24,12,POR,miss,,,,,,,,,,Maurice Harkless,0,,,missed,,Jump Shot,24,-203,136,4.7,75.4,MISS Harkless 24' 3PT Jump Shot
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:10:48,00:01:12,00:00:03,13,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:0)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:10:44,00:01:16,00:00:04,14,POR,miss,,,,,,,,,,Jake Layman,0,,,missed,,Jump Shot,24,-212,114,3.8,77.6,MISS Layman 24' 3PT Jump Shot
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:10:42,00:01:18,00:00:02,15,BKN,rebound,,,,,,,,,,Jarrett Allen,,,,,,rebound defensive,,,,,,Allen REBOUND (Off:0 Def:1)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:10:37,00:01:23,00:00:05,16,BKN,miss,,,,,,,,,,Joe Harris,0,,,missed,,Jump Shot,25,158,190,9.2,24.0,MISS Harris 25' 3PT Jump Shot
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,3,00:10:35,00:01:25,00:00:02,17,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:1 Def:1)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,3,5,00:10:27,00:01:33,00:00:08,18,POR,shot,Al-Farouq Aminu,,,,,,,,,Jusuf Nurkic,2,,,made,,Jump Shot,20,70,183,32.0,70.7,Nurkic 20' Jump Shot (2 PTS) (Aminu 1 AST)
"=""0021801106""",2018-2019 Regular Season,2019-03-25,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,Jake Layman,Damian Lillard,1,5,5,00:10:15,00:01:45,00:00:12,20,BKN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,unknown,1,9,4,24.1,5.4,Russell 1' Driving Layup (2 PTS)
