game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Jakob Poeltl,Bismack Biyombo,,,,,,,Bismack Biyombo,,LaMarcus Aldridge,,,,jump ball,,,,,,Jump Ball Biyombo vs. Poeltl: Tip to Aldridge
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:49,00:00:11,00:00:11,7,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,Pullup Jump Shot,20,96,179,15.4,22.9,MISS White 20' Pullup Jump Shot
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:44,00:00:16,00:00:05,8,CHA,rebound,,,,,,,,,,Dwayne Bacon,,,,,,rebound defensive,,,,,,Bacon REBOUND (Off:0 Def:1)
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:35,00:00:25,00:00:09,9,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,27,193,188,44.3,70.2,MISS Williams 27' 3PT Jump Shot
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:31,00:00:29,00:00:04,10,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:19,00:00:41,00:00:12,11,SAS,turnover,,,,,,,,,,Derrick White,,,bad pass ,,Marvin Williams,bad pass ,,,,,,"White Bad Pass Turnover (P1.T1), Williams STEAL (1 STL)"
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,2,00:11:13,00:00:47,00:00:06,13,CHA,shot,Kemba Walker,,,,,,,,,Miles Bridges,2,,,made,,Running Layup,1,3,7,25.3,88.3,Bridges 1' Running Layup (2 PTS) (Walker 1 AST)
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,2,00:11:00,00:01:00,00:00:13,15,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Jump Shot,18,-59,173,30.9,22.3,MISS Aldridge 18' Jump Shot
"=""0021801107""",2018-2019 Regular Season,2019-03-26,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Derrick White,Bryn Forbes,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,2,00:10:56,00:01:04,00:00:04,16,CHA,rebound,,,,,,,,,,Dwayne Bacon,,,,,,rebound defensive,,,,,,Bacon REBOUND (Off:0 Def:2)
