game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Aron Baynes,Tristan Thompson,,,,,,,Tristan Thompson,,Al Horford,,,,jump ball,,,,,,Jump Ball Thompson vs. Baynes: Tip to Horford
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,0,00:11:43,00:00:17,00:00:17,7,BOS,miss,,,,,,,,,,Terry Rozier,0,,,missed,,Step Back Jump Shot,17,-169,8,41.9,5.8,MISS Rozier 17' Step Back Jump Shot
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,0,00:11:40,00:00:20,00:00:03,8,CLE,rebound,,,,,,,,,,Collin Sexton,,,,,,rebound defensive,,,,,,Sexton REBOUND (Off:0 Def:1)
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,2,00:11:35,00:00:25,00:00:05,9,CLE,shot,,,,,,,,,,Collin Sexton,2,,,made,,unknown,0,3,1,25.3,88.9,Sexton  Driving Layup (2 PTS)
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,2,00:11:22,00:00:38,00:00:13,10,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Pullup Jump Shot,16,65,146,18.5,19.6,MISS Smart 16' Pullup Jump Shot
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,2,00:11:20,00:00:40,00:00:02,11,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,2,00:11:08,00:00:52,00:00:12,12,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,27,95,250,34.5,64.0,MISS Love 27' 3PT Jump Shot
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,2,00:11:04,00:00:56,00:00:04,13,BOS,rebound,,,,,,,,,,Terry Rozier,,,,,,rebound defensive,,,,,,Rozier REBOUND (Off:0 Def:1)
"=""0021801108""",2018-2019 Regular Season,2019-03-26,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Terry Rozier,Cedi Osman,Kevin Love,Tristan Thompson,Brandon Knight,Collin Sexton,1,0,2,00:10:54,00:01:06,00:00:10,14,BOS,turnover,,,,,,,,,,Aron Baynes,,,lost ball ,,Kevin Love,lost ball ,,,,,,"Baynes Lost Ball Turnover (P1.T1), Love STEAL (1 STL)"
