game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Ivica Zubac,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Garrett Temple,,,,jump ball,,,,,,Jump Ball Towns vs. Zubac: Tip to Temple
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,0,00:11:46,00:00:14,00:00:14,7,LAC,shot,Shai Gilgeous-Alexander,,,,,,,,,Danilo Gallinari,3,,,made,,Jump Shot,27,-88,257,33.8,30.7,Gallinari 27' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 1 AST)
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,0,00:11:27,00:00:33,00:00:19,9,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Pullup Jump Shot,16,-11,156,23.9,73.4,MISS Wiggins 16' Pullup Jump Shot
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,0,00:11:25,00:00:35,00:00:02,10,LAC,rebound,,,,,,,,,,Ivica Zubac,,,,,,rebound defensive,,,,,,Zubac REBOUND (Off:0 Def:1)
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,0,00:11:12,00:00:48,00:00:13,11,LAC,shot,Shai Gilgeous-Alexander,,,,,,,,,Garrett Temple,3,,,made,,Jump Shot,23,-229,-11,47.9,3.9,Temple  3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST)
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,3,00:11:01,00:00:59,00:00:11,13,MIN,shot,Karl-Anthony Towns,,,,,,,,,Andrew Wiggins,3,,,made,,Jump Shot,25,-122,214,12.8,67.6,Wiggins 25' 3PT Jump Shot (3 PTS) (Towns 1 AST)
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,8,3,00:10:48,00:01:12,00:00:13,15,LAC,shot,Ivica Zubac,,,,,,,,,Shai Gilgeous-Alexander,2,,,made,,unknown,1,13,4,23.7,5.4,Gilgeous-Alexander 1' Driving Dunk (2 PTS) (Zubac 1 AST)
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,8,3,00:10:35,00:01:25,00:00:13,17,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,26,89,240,33.9,65.0,MISS Towns 26' 3PT Jump Shot
"=""0021801112""",2018-2019 Regular Season,2019-03-26,Garrett Temple,Danilo Gallinari,Ivica Zubac,Patrick Beverley,Shai Gilgeous-Alexander,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,8,3,00:10:32,00:01:28,00:00:03,18,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
