game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Dewayne Dedmon,Cheick Diallo,,,,,,,Cheick Diallo,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Diallo vs. Dedmon: Tip to Payton
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,0,3,00:11:41,00:00:19,00:00:19,7,NOP,shot,Julius Randle,,,,,,,,,Frank Jackson,3,,,made,,Jump Shot,26,139,216,38.9,67.4,Jackson 26' 3PT Jump Shot (3 PTS) (Randle 1 AST)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:11:23,00:00:37,00:00:18,9,ATL,shot,Trae Young,,,,,,,,,John Collins,2,,,made,,Alley Oop Layup,3,-26,3,27.6,5.3,Collins 3' Alley Oop Layup (2 PTS) (Young 1 AST)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:11:13,00:00:47,00:00:10,11,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Jump Shot,26,-106,232,14.4,65.8,MISS Payton 26' 3PT Jump Shot
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:11:10,00:00:50,00:00:03,12,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:1)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:11:04,00:00:56,00:00:06,13,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,unknown,7,7,66,24.3,11.6,MISS Prince 7' Driving Layup
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:11:04,00:00:56,00:00:00,14,NOP,rebound,,,,,,,,,,Cheick Diallo,,,,,,rebound defensive,,,,,,Diallo REBOUND (Off:0 Def:1)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,3,00:10:58,00:01:02,00:00:06,15,ATL,foul,,,,,,,,Frank Jackson,,Kevin Huerter,,,s.foul,,,s.foul,,,,,,Huerter S.FOUL (P1.T1) (T.Brothers)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,4,00:10:58,00:01:02,00:00:00,17,NOP,free throw,,,,,,,1,,2,Frank Jackson,1,,,made,,Free Throw 1 of 2,,,,,,Jackson Free Throw 1 of 2 (4 PTS)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,5,00:10:58,00:01:02,00:00:00,18,NOP,free throw,,,,,,,2,,2,Frank Jackson,1,,,made,,Free Throw 2 of 2,,,,,,Jackson Free Throw 2 of 2 (5 PTS)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,5,00:10:37,00:01:23,00:00:21,19,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,24,-16,243,26.6,29.3,MISS Collins 24' 3PT Jump Shot
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,5,00:10:32,00:01:28,00:00:05,20,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,7,00:10:28,00:01:32,00:00:04,21,NOP,shot,Elfrid Payton,,,,,,,,,Cheick Diallo,2,,,made,,Floating Jump Shot,7,69,5,31.9,88.5,Diallo 7' Floating Jump Shot (2 PTS) (Payton 1 AST)
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,7,00:10:07,00:01:53,00:00:21,23,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,Jump Shot,25,-176,178,42.6,22.8,MISS Collins 25' 3PT Jump Shot
"=""0021801113""",2018-2019 Regular Season,2019-03-26,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,Kenrich Williams,Cheick Diallo,Julius Randle,Frank Jackson,Elfrid Payton,1,2,7,00:10:04,00:01:56,00:00:03,24,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:2)
