game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Nikola Vucevic,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Vucevic: Tip to Griffin
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:38,00:00:22,00:00:22,7,DET,miss,,,,,,,,,,Blake Griffin,0,,,missed,,unknown,3,-27,-6,22.3,89.6,MISS Griffin 3' Driving Layup
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:36,00:00:24,00:00:02,8,ORL,rebound,,,,,,,,,,Evan Fournier,,,,,,rebound defensive,,,,,,Fournier REBOUND (Off:0 Def:1)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:20,00:00:40,00:00:16,9,ORL,miss,,,,Andre Drummond,,,,,,Evan Fournier,0,,,missed,,unknown,4,22,37,22.8,8.7,"MISS Fournier 4' Driving Layup, Drummond BLOCK (1 BLK)"
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:20,00:00:40,00:00:00,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:14,00:00:46,00:00:06,13,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Jump Shot,26,-91,243,34.1,29.3,MISS Fournier 26' 3PT Jump Shot
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:11:12,00:00:48,00:00:02,14,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:03,00:00:57,00:00:09,15,DET,shot,,,,,,,,,,Reggie Jackson,2,,,made,,unknown,3,-27,13,22.3,87.7,Jackson 3' Driving Layup (2 PTS)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:45,00:01:15,00:00:18,17,ORL,shot,Evan Fournier,,,,,,,,,Aaron Gordon,2,,,made,,Alley Oop Layup,3,-6,26,25.6,7.6,Gordon 3' Alley Oop Layup (2 PTS) (Fournier 1 AST)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:10:34,00:01:26,00:00:11,19,DET,shot,Blake Griffin,,,,,,,,,Wayne Ellington,3,,,made,,Jump Shot,26,152,209,40.2,68.1,Ellington 26' 3PT Jump Shot (3 PTS) (Griffin 1 AST)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:10:11,00:01:49,00:00:23,21,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Pullup Jump Shot,15,-24,147,27.4,19.7,MISS Fournier 15' Pullup Jump Shot
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:10:08,00:01:52,00:00:03,22,DET,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:10:00,00:02:00,00:00:08,23,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Jump Shot,27,24,268,27.4,62.2,MISS Jackson 27' 3PT Jump Shot
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:10:00,00:02:00,00:00:00,24,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:09:41,00:02:19,00:00:19,27,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Hook Shot,8,63,46,18.7,9.6,MISS Vucevic 8' Hook Shot
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:09:38,00:02:22,00:00:03,28,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:2)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,5,00:09:31,00:02:29,00:00:07,29,DET,turnover,,,,,,,,,,Reggie Jackson,,,bad pass ,,Jonathan Isaac,bad pass ,,,,,,"Isaac STEAL (1 STL), Jackson Bad Pass Turnover (P1.T1)"
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,4,5,00:09:26,00:02:34,00:00:05,31,ORL,shot,Aaron Gordon,,,,,,,,,Jonathan Isaac,2,,,made,,Running Dunk,1,9,9,24.1,5.9,Isaac 1' Running Dunk (2 PTS) (Gordon 1 AST)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,4,7,00:09:00,00:03:00,00:00:26,33,DET,shot,,,,,,,,,,Reggie Jackson,2,,,made,,Pullup Jump Shot,12,79,95,32.9,79.5,Jackson 12' Pullup Jump Shot (4 PTS)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,4,7,00:08:47,00:03:13,00:00:13,34,ORL,turnover,,,,,,,,,,D.J. Augustin,,,bad pass ,,Wayne Ellington,bad pass ,,,,,,"Augustin Bad Pass Turnover (P1.T1), Ellington STEAL (1 STL)"
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,4,9,00:08:43,00:03:17,00:00:04,36,DET,shot,Bruce Brown,,,,,,,,,Andre Drummond,2,,,made,,Running Layup,1,-7,13,24.3,87.7,Drummond 1' Running Layup (2 PTS) (Brown 1 AST)
"=""0021801122""",2018-2019 Regular Season,2019-03-28,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,7,9,00:08:25,00:03:35,00:00:18,38,ORL,shot,Nikola Vucevic,,,,,,,,,Jonathan Isaac,3,,,made,,Jump Shot,23,-230,24,48.0,7.4,Isaac  3PT Jump Shot (5 PTS) (Vucevic 1 AST)
