game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:12:00,0:00:00,0:00:00,4,TOR,jump ball,,Marc Gasol,DeAndre Jordan,,,,,,,DeAndre Jordan,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Jordan vs. Gasol: Tip to Lowry
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:45,0:00:15,0:00:15,7,TOR,miss,,,,,,,,,,Fred VanVleet,0,,,missed,,unknown,1,1,8,24.9,5.8,MISS VanVleet 1' Cutting Layup Shot
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:43,0:00:17,0:00:02,8,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:21,0:00:39,0:00:22,9,NYK,miss,,,,Pascal Siakam,,,,,,DeAndre Jordan,0,,,missed,,Layup,6,25,52,27.5,83.8,"Siakam BLOCK (1 BLK), MISS Jordan 6' Layup"
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:20,0:00:40,0:00:01,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KNICKS Rebound
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:20,0:00:40,0:00:00,12,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,KNICKS Turnover: Shot Clock (T#1)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,0,0,0:11:10,0:00:50,0:00:10,13,NYK,foul,,,,,,,,Marc Gasol,,DeAndre Jordan,,,s.foul,,,s.foul,,,,,,Jordan S.FOUL (P1.T1) (J.Goble)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,1,0,0:11:10,0:00:50,0:00:00,15,TOR,free throw,,,,,,,1,,2,Marc Gasol,1,,,made,,Free Throw 1 of 2,,,,,,Gasol Free Throw 1 of 2 (1 PTS)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,0,0:11:10,0:00:50,0:00:00,16,TOR,free throw,,,,,,,2,,2,Marc Gasol,1,,,made,,Free Throw 2 of 2,,,,,,Gasol Free Throw 2 of 2 (2 PTS)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,0,0:10:53,0:01:07,0:00:17,17,NYK,turnover,,,,,,,,,,DeAndre Jordan,,,lost ball ,,Kyle Lowry,lost ball ,,,,,,"Lowry STEAL (1 STL), Jordan Lost Ball Turnover (P1.T2)"
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,0,0:10:48,0:01:12,0:00:05,19,TOR,miss,,,,,,,,,,Pascal Siakam,0,,,missed,,Jump Shot,22,-221,-12,47.1,3.8,MISS Siakam  3PT Jump Shot
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,0,0:10:46,0:01:14,0:00:02,20,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:2)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,2,2,0:10:37,0:01:23,0:00:09,21,NYK,shot,,,,,,,,,,Emmanuel Mudiay,2,,,made,,Pullup Jump Shot,17,84,151,33.4,73.9,Mudiay 17' Pullup Jump Shot (2 PTS)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,4,2,0:10:29,0:01:31,0:00:08,22,TOR,shot,Kyle Lowry,,,,,,,,,Pascal Siakam,2,,,made,,Alley Oop Dunk,0,-4,1,25.4,5.1,Siakam  Alley Oop Dunk (2 PTS) (Lowry 1 AST)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,4,4,0:10:10,0:01:50,0:00:19,24,NYK,shot,,,,,,,,,,Mario Hezonja,2,,,made,,Driving Reverse Layup,1,-9,1,24.1,88.9,Hezonja 1' Driving Reverse Layup (2 PTS)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,4,4,0:09:58,0:02:02,0:00:12,25,TOR,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,26,126,229,12.4,27.9,MISS Gasol 26' 3PT Jump Shot
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,4,4,0:09:56,0:02:04,0:00:02,26,NYK,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:3)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,4,4,0:09:48,0:02:12,0:00:08,27,NYK,turnover,,,,,,,,,,Mario Hezonja,,,lost ball ,,Pascal Siakam,lost ball ,,,,,,"Siakam STEAL (1 STL), Hezonja Lost Ball Turnover (P1.T3)"
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,7,4,0:09:42,0:02:18,0:00:06,29,TOR,shot,,,,,,,,,,Danny Green,3,,,made,,Jump Shot,26,149,219,10.1,26.9,Green 26' 3PT Jump Shot (3 PTS)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,7,6,0:09:27,0:02:33,0:00:15,30,NYK,shot,DeAndre Jordan,,,,,,,,,Mario Hezonja,2,,,made,,unknown,1,-3,5,24.7,88.5,Hezonja 1' Cutting Dunk Shot (4 PTS) (Jordan 1 AST)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,10,6,0:09:04,0:02:56,0:00:23,32,TOR,shot,Marc Gasol,,,,,,,,,Danny Green,3,,,made,,Jump Shot,24,237,10,1.3,6,Green 24' 3PT Jump Shot (6 PTS) (Gasol 1 AST)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,10,8,0:08:52,0:03:08,0:00:12,34,NYK,shot,DeAndre Jordan,,,,,,,,,Emmanuel Mudiay,2,,,made,,Fadeaway Jumper,14,19,141,26.9,74.9,Mudiay 14' Fadeaway Jumper (4 PTS) (Jordan 2 AST)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,10,8,0:08:45,0:03:15,0:00:07,36,TOR,miss,,,,Kevin Knox,,,,,,Fred VanVleet,0,,,missed,,unknown,1,6,8,24.4,5.8,"MISS VanVleet 1' Driving Layup, Knox BLOCK (1 BLK)"
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,10,8,0:08:43,0:03:17,0:00:02,38,NYK,rebound,,,,,,,,,,Mario Hezonja,,,,,,rebound defensive,,,,,,Hezonja REBOUND (Off:0 Def:1)
0021801125,2018-2019 Regular Season,3/28/2019,Danny Green,Pascal Siakam,Marc Gasol,Kyle Lowry,Fred VanVleet,Mario Hezonja,Kevin Knox,DeAndre Jordan,Damyean Dotson,Emmanuel Mudiay,1,10,8,0:08:36,0:03:24,0:00:07,39,NYK,miss,,,,,,,,,,Kevin Knox,0,,,missed,,Jump Shot,25,-219,126,3.1,76.4,MISS Knox 25' 3PT Jump Shot
