game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Bismack Biyombo,JaVale McGee,,,,,,,JaVale McGee,,Kemba Walker,,,,jump ball,,,,,,Jump Ball McGee vs. Biyombo: Tip to Walker
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,0,00:11:38,00:00:22,00:00:22,8,CHA,turnover,,,,,,,,,,Bismack Biyombo,,,bad pass ,,Rajon Rondo,bad pass ,,,,,,"Biyombo Bad Pass Turnover (P1.T1), Rondo STEAL (1 STL)"
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:34,00:00:26,00:00:04,10,LAL,shot,JaVale McGee,,,,,,,,,Kyle Kuzma,2,,,made,,Running Dunk,1,6,4,25.6,88.6,Kuzma 1' Running Dunk (2 PTS) (McGee 1 AST)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:11,00:00:49,00:00:23,12,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,Turnaround Fadeaway ,11,93,58,15.7,10.8,MISS Bridges 11' Turnaround Fadeaway Shot
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:11:09,00:00:51,00:00:02,13,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:1)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:10:54,00:01:06,00:00:15,14,LAL,miss,,,,,,,,,,LeBron James,0,,,missed,,Step Back Jump Shot,25,221,122,47.1,76.8,MISS James 25' 3PT Step Back Jump Shot
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,2,00:10:52,00:01:08,00:00:02,15,LAL,rebound,,,,,,,,,,Rajon Rondo,,,,,,rebound offensive,,,,,,Rondo REBOUND (Off:1 Def:0)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,4,00:10:50,00:01:10,00:00:02,16,LAL,shot,Kentavious Caldwell-Pope,,,,,,,,,LeBron James,2,,,made,,unknown,2,3,20,25.3,87.0,James 2' Cutting Dunk Shot (2 PTS) (Caldwell-Pope 1 AST)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,4,00:10:37,00:01:23,00:00:13,18,CHA,miss,,,,,,,,,,Marvin Williams,0,,,missed,,Jump Shot,26,-152,217,40.2,26.7,MISS Williams 26' 3PT Jump Shot
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,4,00:10:32,00:01:28,00:00:05,19,LAL,rebound,,,,,,,,,,JaVale McGee,,,,,,rebound defensive,,,,,,McGee REBOUND (Off:0 Def:2)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,4,00:10:16,00:01:44,00:00:16,20,LAL,miss,,,,,,,,,,Rajon Rondo,0,,,missed,,Step Back Jump Shot,24,-118,213,13.2,67.7,MISS Rondo 24' 3PT Step Back Jump Shot
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,0,4,00:10:13,00:01:47,00:00:03,21,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound defensive,,,,,,Biyombo REBOUND (Off:0 Def:1)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,2,4,00:10:05,00:01:55,00:00:08,22,CHA,shot,Kemba Walker,,,,,,,,,Dwayne Bacon,2,,,made,,Pullup Jump Shot,13,-7,131,25.7,18.1,Bacon 13' Pullup Jump Shot (2 PTS) (Walker 1 AST)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,2,4,00:09:45,00:02:15,00:00:20,24,LAL,turnover,,,,,,,,,,LeBron James,,,bad pass ,,Marvin Williams,bad pass ,,,,,,"Williams STEAL (1 STL), James Bad Pass Turnover (P1.T1)"
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:41,00:02:19,00:00:04,26,CHA,shot,Miles Bridges,,,,,,,,,Marvin Williams,3,,,made,,Jump Shot,26,-174,189,42.4,23.9,Williams 26' 3PT Jump Shot (3 PTS) (Bridges 1 AST)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:21,00:02:39,00:00:20,28,LAL,miss,,,,,,,,,,JaVale McGee,0,,,missed,,unknown,4,3,42,25.3,84.8,MISS McGee 4' Cutting Finger Roll Layup Shot
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:19,00:02:41,00:00:02,29,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound defensive,,,,,,Biyombo REBOUND (Off:0 Def:2)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:16,00:02:44,00:00:03,30,LAL,foul,,,,,,,,Dwayne Bacon,,Kentavious Caldwell-Pope,,,p.foul,,,p.foul,,,,,,Caldwell-Pope P.FOUL (P1.T1) (M.Smith)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:09,00:02:51,00:00:07,32,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,unknown,2,-9,21,25.9,7.1,MISS Bridges 2' Cutting Layup Shot
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:07,00:02:53,00:00:02,33,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound offensive,,,,,,Biyombo REBOUND (Off:1 Def:2)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:06,00:02:54,00:00:01,34,CHA,miss,,,,JaVale McGee,,,,,,Bismack Biyombo,0,,,missed,,Putback Layup,4,11,37,23.9,8.7,"MISS Biyombo 4' Putback Layup, McGee BLOCK (1 BLK)"
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:03,00:02:57,00:00:03,36,LAL,rebound,,,,,,,,,,Rajon Rondo,,,,,,rebound defensive,,,,,,Rondo REBOUND (Off:1 Def:1)
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:01,00:02:59,00:00:02,37,LAL,miss,,,,,,,,,,Rajon Rondo,0,,,missed,,unknown,2,12,13,26.2,87.7,MISS Rondo 2' Driving Layup
"=""0021801135""",2018-2019 Regular Season,2019-03-29,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,LeBron James,Kyle Kuzma,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,1,5,4,00:09:01,00:02:59,00:00:00,38,CHA,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:1)
