game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Tristan Thompson,Ivica Zubac,,,,,,,Ivica Zubac,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Zubac vs. Thompson: Tip to Osman
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,0,00:11:44,00:00:16,00:00:16,7,CLE,shot,,,,,,,,,,Cedi Osman,2,,,made,,unknown,2,-21,6,27.1,5.6,Osman 2' Driving Layup (2 PTS)
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:11:25,00:00:35,00:00:19,8,LAC,shot,,,,,,,,,,Shai Gilgeous-Alexander,2,,,made,,unknown,1,6,8,25.6,88.2,Gilgeous-Alexander 1' Driving Layup (2 PTS)
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:11:01,00:00:59,00:00:24,9,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Step Back Jump Shot,11,-113,-7,36.3,4.3,MISS Osman 11' Step Back Jump Shot
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:10:58,00:01:02,00:00:03,10,LAC,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound defensive,,,,,,Beverley REBOUND (Off:0 Def:1)
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,4,00:10:57,00:01:03,00:00:01,11,LAC,shot,Patrick Beverley,,,,,,,,,Ivica Zubac,2,,,made,,Running Dunk,0,-1,4,24.9,88.6,Zubac  Running Dunk (2 PTS) (Beverley 1 AST)
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,4,00:10:37,00:01:23,00:00:20,13,CLE,turnover,,,,,,,,,,Collin Sexton,,,lost ball ,,Shai Gilgeous-Alexander,lost ball ,,,,,,"Sexton Lost Ball Turnover (P1.T1), Gilgeous-Alexander STEAL (1 STL)"
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,4,00:10:34,00:01:26,00:00:03,15,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,Running Reverse Layup,3,-5,27,24.5,86.3,MISS Gilgeous-Alexander 3' Running Reverse Layup
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,4,00:10:31,00:01:29,00:00:03,16,LAC,rebound,,,,,,,,,,Landry Shamet,,,,,,rebound offensive,,,,,,Shamet REBOUND (Off:1 Def:0)
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,7,00:10:23,00:01:37,00:00:08,17,LAC,shot,Shai Gilgeous-Alexander,,,,,,,,,Landry Shamet,3,,,made,,Jump Shot,27,174,206,42.4,68.4,Shamet 27' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 1 AST)
"=""0021801136""",2018-2019 Regular Season,2019-03-30,Cedi Osman,David Nwaba,Tristan Thompson,Brandon Knight,Collin Sexton,Patrick Beverley,JaMychal Green,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,7,00:10:10,00:01:50,00:00:13,19,CLE,miss,,,,Ivica Zubac,,,,,,Collin Sexton,0,,,missed,,unknown,2,-14,13,26.4,6.3,"MISS Sexton 2' Driving Layup, Zubac BLOCK (1 BLK)"
