game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:12:00,00:00:00,00:00:00,4,BKN,jump ball,,Aron Baynes,Jarrett Allen,,,,,,,Jarrett Allen,,Joe Harris,,,,jump ball,,,,,,Jump Ball Allen vs. Baynes: Tip to Harris
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:35,00:00:25,00:00:25,7,BKN,turnover,,,,,,,,,,DeMarre Carroll,,,,,,unknown,,,,,,Carroll Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:16,00:00:44,00:00:19,8,BOS,miss,,,,,,,,,,Aron Baynes,0,,,missed,,Hook Shot,8,-78,5,32.8,5.5,MISS Baynes 8' Hook Shot
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:13,00:00:47,00:00:03,9,BKN,rebound,,,,,,,,,,Rodions Kurucs,,,,,,rebound defensive,,,,,,Kurucs REBOUND (Off:0 Def:1)
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:08,00:00:52,00:00:05,10,BKN,miss,,,,,,,,,,DeMarre Carroll,0,,,missed,,Jump Shot,23,-225,-6,2.5,89.6,MISS Carroll  3PT Jump Shot
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,0,0,00:11:04,00:00:56,00:00:04,11,BOS,rebound,,,,,,,,,,Terry Rozier,,,,,,rebound defensive,,,,,,Rozier REBOUND (Off:0 Def:1)
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:10:53,00:01:07,00:00:11,12,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Smart,3,,,made,,Jump Shot,25,-147,206,39.7,25.6,Smart 25' 3PT Jump Shot (3 PTS) (Tatum 1 AST)
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Aron Baynes,Marcus Smart,Terry Rozier,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:10:46,00:01:14,00:00:07,14,BOS,foul,,,,,,,,Joe Harris,,Terry Rozier,,,p.foul,,,p.foul,,,,,,Rozier P.FOUL (P1.T1) (Z.Zarba)
"=""0021801137""",2018-2019 Regular Season,2019-03-30,Jayson Tatum,Marcus Morris,Marcus Smart,Terry Rozier,Robert Williams III,DeMarre Carroll,Rodions Kurucs,Jarrett Allen,Joe Harris,D'Angelo Russell,1,3,0,00:10:46,00:01:14,00:00:00,16,BOS,sub,,,,,Robert Williams III,Aron Baynes,,,,Aron Baynes,,,,,,sub,,,,,,SUB: Williams III FOR Baynes
