game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Bam Adebayo,Mitchell Robinson,,,,,,,Mitchell Robinson,,Kelly Olynyk,,,,jump ball,,,,,,Jump Ball Robinson vs. Adebayo: Tip to Olynyk
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:11:49,00:00:11,00:00:11,7,NYK,foul,,,,,,,,Derrick Jones Jr.,,Kevin Knox,,,p.foul,,,p.foul,,,,,,Knox P.FOUL (P1.T1) (E.Lewis)
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:36,00:00:24,00:00:13,9,MIA,shot,Goran Dragic,,,,,,,,,Dion Waiters,3,,,made,,Jump Shot,27,-78,256,32.8,30.6,Waiters 27' 3PT Jump Shot (3 PTS) (Dragic 1 AST)
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,3,0,00:11:19,00:00:41,00:00:17,11,NYK,turnover,,,,,,,,,,Mitchell Robinson,,,bad pass ,,Derrick Jones Jr.,bad pass ,,,,,,"Jones Jr. STEAL (1 STL), Robinson Bad Pass Turnover (P1.T1)"
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,5,0,00:11:14,00:00:46,00:00:05,13,MIA,shot,Derrick Jones Jr.,,,,,,,,,Bam Adebayo,2,,,made,,unknown,2,14,19,23.6,6.9,Adebayo 2' Driving Layup (2 PTS) (Jones Jr. 1 AST)
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,5,0,00:10:57,00:01:03,00:00:17,15,NYK,miss,,,,,,,,,,Damyean Dotson,0,,,missed,,Fadeaway Jumper,4,-34,11,21.6,87.9,MISS Dotson 4' Fadeaway Jumper
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,5,0,00:10:55,00:01:05,00:00:02,16,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,5,0,00:10:50,00:01:10,00:00:05,17,MIA,turnover,,,,,,,,,,Dion Waiters,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Waiters Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021801141""",2018-2019 Regular Season,2019-03-30,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Goran Dragic,Dion Waiters,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,5,3,00:10:33,00:01:27,00:00:17,18,NYK,shot,Emmanuel Mudiay,,,,,,,,,Luke Kornet,3,,,made,,Jump Shot,26,-163,207,8.7,68.3,Kornet 26' 3PT Jump Shot (3 PTS) (Mudiay 1 AST)
