game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Marc Gasol,Robin Lopez,,,,,,,Robin Lopez,,Wayne Selden,,,,jump ball,,,,,,Jump Ball Lopez vs. Gasol: Tip to Selden
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,0,0,00:11:39,00:00:21,00:00:21,7,CHI,turnover,,,,,,,,,,Robin Lopez,,,lost ball ,,Danny Green,lost ball ,,,,,,"Green STEAL (1 STL), Lopez Lost Ball Turnover (P1.T1)"
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,2,0,00:11:30,00:00:30,00:00:09,9,TOR,shot,Marc Gasol,,,,,,,,,Serge Ibaka,2,,,made,,Turnaround Jump Shot,13,-126,-20,37.6,3.0,Ibaka 13' Turnaround Jump Shot (2 PTS) (Gasol 1 AST)
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,2,3,00:11:16,00:00:44,00:00:14,11,CHI,shot,Brandon Sampson,,,,,,,,,Ryan Arcidiacono,3,,,made,,Jump Shot,26,142,218,39.2,67.2,Arcidiacono 26' 3PT Jump Shot (3 PTS) (Sampson 1 AST)
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,4,3,00:11:00,00:01:00,00:00:16,13,TOR,shot,Marc Gasol,,,,,,,,,Fred VanVleet,2,,,made,,unknown,2,-17,-9,26.7,4.1,VanVleet 2' Cutting Layup Shot (2 PTS) (Gasol 2 AST)
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,4,5,00:10:43,00:01:17,00:00:17,15,CHI,shot,,,,,,,,,,Wayne Selden,2,,,made,,Pullup Jump Shot,20,-22,194,22.8,69.6,Selden 20' Pullup Jump Shot (2 PTS)
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,6,5,00:10:25,00:01:35,00:00:18,16,TOR,shot,,,,,,,,,,Serge Ibaka,2,,,made,,Driving Hook Shot,4,35,-3,21.5,4.7,Ibaka 4' Driving Hook Shot (4 PTS)
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,6,5,00:10:10,00:01:50,00:00:15,17,CHI,miss,,,,,,,,,,Ryan Arcidiacono,0,,,missed,,Jump Shot,25,-131,209,11.9,68.1,MISS Arcidiacono 25' 3PT Jump Shot
"=""0021801142""",2018-2019 Regular Season,2019-03-30,Danny Green,Serge Ibaka,Marc Gasol,Fred VanVleet,Kyle Lowry,Shaquille Harrison,Wayne Selden,Robin Lopez,Brandon Sampson,Ryan Arcidiacono,1,6,5,00:10:07,00:01:53,00:00:03,18,TOR,rebound,,,,,,,,,,Danny Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
