game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Jonah Bolden,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Dario Saric,,,,jump ball,,,,,,Jump Ball Towns vs. Bolden: Tip to Saric
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,2,00:11:44,00:00:16,00:00:16,7,MIN,shot,Karl-Anthony Towns,,,,,,,,,Andrew Wiggins,2,,,made,,Layup,2,-5,15,24.5,87.5,Wiggins 2' Layup (2 PTS) (Towns 1 AST)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:11:33,00:00:27,00:00:11,9,PHI,shot,Ben Simmons,,,,,,,,,JJ Redick,3,,,made,,Jump Shot,25,-46,247,29.6,29.7,Redick 25' 3PT Jump Shot (3 PTS) (Simmons 1 AST)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:11:11,00:00:49,00:00:22,11,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,unknown,6,5,61,25.5,82.9,MISS Wiggins 6' Driving Layup
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:11:09,00:00:51,00:00:02,12,PHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:11:05,00:00:55,00:00:04,13,PHI,turnover,,,,,,,,,,Ben Simmons,,,,,,unknown,,,,,,Simmons Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:10:57,00:01:03,00:00:08,14,MIN,miss,,,,,,,,,,Dario Saric,0,,,missed,,Jump Shot,25,220,126,47.0,76.4,MISS Saric 25' 3PT Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:10:53,00:01:07,00:00:04,15,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,2,00:10:48,00:01:12,00:00:05,16,PHI,shot,,,,,,,,,,Tobias Harris,3,,,made,,Pullup Jump Shot,25,-14,251,26.4,30.1,Harris 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,2,00:10:35,00:01:25,00:00:13,17,MIN,miss,,,,,,,,,,Josh Okogie,0,,,missed,,Pullup Jump Shot,19,-119,151,13.1,73.9,MISS Okogie 19' Pullup Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,2,00:10:31,00:01:29,00:00:04,18,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:2)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,2,00:10:23,00:01:37,00:00:08,19,PHI,miss,,,,,,,,,,Jonah Bolden,0,,,missed,,Jump Shot,24,195,146,5.5,19.6,MISS Bolden 24' 3PT Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,2,00:10:19,00:01:41,00:00:04,20,MIN,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound defensive,,,,,,Wiggins REBOUND (Off:0 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:10:15,00:01:45,00:00:04,21,MIN,shot,,,,,,,,,,Tyus Jones,2,,,made,,unknown,5,-21,48,22.9,84.2,Jones 5' Driving Floating Jump Shot (2 PTS)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:54,00:02:06,00:00:21,22,PHI,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,-60,246,31.0,29.6,MISS Harris 25' 3PT Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:52,00:02:08,00:00:02,23,MIN,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:36,00:02:24,00:00:16,25,MIN,miss,,,,,,,,,,Dario Saric,0,,,missed,,Hook Shot,6,-18,59,23.2,83.1,MISS Saric 6' Hook Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:34,00:02:26,00:00:02,26,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:3)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:21,00:02:39,00:00:13,27,MIN,foul,,,,,,,,Jonah Bolden,,Dario Saric,,,p.foul,,,p.foul,,,,,,Saric P.FOUL (P1.T1) (K.Mauer)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:19,00:02:41,00:00:02,29,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Pullup Jump Shot,18,-166,70,41.6,12.0,MISS Redick 18' Pullup Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:16,00:02:44,00:00:03,30,MIN,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:2)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:11,00:02:49,00:00:05,31,MIN,miss,,,,,,,,,,Tyus Jones,0,,,missed,,Pullup Jump Shot,24,-109,219,14.1,67.1,MISS Jones 24' 3PT Pullup Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:08,00:02:52,00:00:03,32,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:05,00:02:55,00:00:03,33,PHI,miss,,,,,,,,,,Jimmy Butler,0,,,missed,,Alley Oop Layup,1,4,7,24.6,5.7,MISS Butler 1' Alley Oop Layup
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:05,00:02:55,00:00:00,34,PHI,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound offensive,,,,,,Butler REBOUND (Off:1 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:09:02,00:02:58,00:00:03,35,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,19,-194,10,44.4,6.0,MISS Redick 19' Jump Shot
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,4,00:08:58,00:03:02,00:00:04,36,MIN,rebound,,,,,,,,,,Tyus Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
"=""0021801143""",2018-2019 Regular Season,2019-03-30,Jimmy Butler,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,6,00:08:55,00:03:05,00:00:03,37,MIN,shot,Tyus Jones,,,,,,,,,Josh Okogie,2,,,made,,Dunk,1,-3,11,24.7,87.9,Okogie 1' Dunk (2 PTS) (Jones 1 AST)
