game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Brook Lopez,Alex Len,,,,,,,Alex Len,,Tim Frazier,,,,jump ball,,,,,,Jump Ball Len vs. Lopez: Tip to Frazier
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,0,00:11:43,00:00:17,00:00:17,7,MIL,shot,D.J. Wilson,,,,,,,,,Sterling Brown,3,,,made,,Jump Shot,25,131,215,11.9,26.5,Brown 25' 3PT Jump Shot (3 PTS) (Wilson 1 AST)
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,0,00:11:23,00:00:37,00:00:20,9,ATL,miss,,,,,,,,,,John Collins,0,,,missed,,unknown,3,23,25,27.3,86.5,MISS Collins 3' Driving Floating Bank Jump Shot
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,0,00:11:18,00:00:42,00:00:05,10,ATL,rebound,,,,,,,,,,Justin Anderson,,,,,,rebound offensive,,,,,,Anderson REBOUND (Off:1 Def:0)
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,2,00:11:18,00:00:42,00:00:00,11,ATL,shot,,,,,,,,,,Justin Anderson,2,,,made,,unknown,1,0,-6,25.0,89.6,Anderson 1' Tip Dunk Shot (2 PTS)
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,2,00:11:15,00:00:45,00:00:03,12,MIL,miss,,,,,,,,,,Tim Frazier,0,,,missed,,Pullup Jump Shot,13,124,20,12.6,7.0,MISS Frazier 13' Pullup Jump Shot
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,3,2,00:11:11,00:00:49,00:00:04,13,MIL,rebound,,,,,,,,,,Bonzie Colson,,,,,,rebound offensive,,,,,,Colson REBOUND (Off:1 Def:0)
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:11:05,00:00:55,00:00:06,14,MIL,shot,Sterling Brown,,,,,,,,,D.J. Wilson,2,,,made,,unknown,0,2,4,24.8,5.4,Wilson  Cutting Dunk Shot (2 PTS) (Brown 1 AST)
"=""0021801145""",2018-2019 Regular Season,2019-03-31,Bonzie Colson,D.J. Wilson,Brook Lopez,Sterling Brown,Tim Frazier,Justin Anderson,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:49,00:01:11,00:00:16,16,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,unknown,12,-63,103,18.7,78.7,MISS Young 12' Driving Floating Jump Shot
