game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,JaVale McGee,Jahlil Okafor,,,,,,,Jahlil Okafor,,Moritz Wagner,,,,jump ball,,,,,,Jump Ball Okafor vs. McGee: Tip to Wagner
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:46,00:00:14,00:00:14,7,LAL,shot,Lance Stephenson,,,,,,,,,Rajon Rondo,2,,,made,,unknown,1,-5,-1,25.5,4.9,Rondo 1' Driving Layup (2 PTS) (Stephenson 1 AST)
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:23,00:00:37,00:00:23,9,NOP,turnover,,,,,,,,,,Julius Randle,,,lost ball ,,Rajon Rondo,lost ball ,,,,,,"Rondo STEAL (1 STL), Randle Lost Ball Turnover (P1.T1)"
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:15,00:00:45,00:00:08,11,LAL,miss,,,,,,,,,,Lance Stephenson,0,,,missed,,Jump Shot,24,-143,198,39.3,24.8,MISS Stephenson 24' 3PT Jump Shot
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:12,00:00:48,00:00:03,12,NOP,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,3,00:11:07,00:00:53,00:00:05,13,NOP,shot,Julius Randle,,,,,,,,,Ian Clark,3,,,made,,Jump Shot,29,-109,269,14.1,62.1,Clark 29' 3PT Jump Shot (3 PTS) (Randle 1 AST)
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,3,00:10:44,00:01:16,00:00:23,15,LAL,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Floating Jump Shot,10,9,99,24.1,14.9,MISS McGee 10' Floating Jump Shot
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,3,00:10:42,00:01:18,00:00:02,16,NOP,rebound,,,,,,,,,,Ian Clark,,,,,,rebound defensive,,,,,,Clark REBOUND (Off:0 Def:1)
"=""0021801147""",2018-2019 Regular Season,2019-03-31,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,3,00:10:37,00:01:23,00:00:05,17,LAL,foul,,,,,,,,Jahlil Okafor,,Moritz Wagner,,,p.foul,,,p.foul,,,,,,Wagner P.FOUL (P1.T1) (A.Smith)
