game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Thomas Bryant,Nikola Jokic,,,,,,,Nikola Jokic,,Jamal Murray,,,,jump ball,,,,,,Jump Ball Jokic vs. Bryant: Tip to Murray
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:37,00:00:23,00:00:23,8,DEN,shot,Paul Millsap,,,,,,,,,Nikola Jokic,2,,,made,,Turnaround Hook Shot,3,4,29,25.4,86.1,Jokic 3' Turnaround Hook Shot (2 PTS) (Millsap 1 AST)
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:26,00:00:34,00:00:11,10,WAS,turnover,,,,,,,,,,Bradley Beal,,,bad pass ,,Gary Harris,bad pass ,,,,,,"Beal Bad Pass Turnover (P1.T1), Harris STEAL (1 STL)"
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:22,00:00:38,00:00:04,12,DEN,miss,,,,,,,,,,Gary Harris,0,,,missed,,Pullup Jump Shot,25,129,215,37.9,67.5,MISS Harris 25' 3PT Pullup Jump Shot
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:19,00:00:41,00:00:03,13,WAS,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound defensive,,,,,,Portis REBOUND (Off:0 Def:1)
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:06,00:00:54,00:00:13,14,WAS,miss,,,,,,,,,,Thomas Bryant,0,,,missed,,Jump Shot,14,133,25,11.7,7.5,MISS Bryant 14' Jump Shot
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:11:04,00:00:56,00:00:02,15,WAS,rebound,,,,,,,,,,Troy Brown Jr.,,,,,,rebound offensive,,,,,,Brown Jr. REBOUND (Off:1 Def:0)
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,2,00:10:53,00:01:07,00:00:11,16,DEN,foul,,,,,,,,Thomas Bryant,,Paul Millsap,,,s.foul,,,s.foul,,,,,,Millsap S.FOUL (P1.T1) (M.Dagher)
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,1,2,00:10:53,00:01:07,00:00:00,18,WAS,free throw,,,,,,,1,,2,Thomas Bryant,1,,,made,,Free Throw 1 of 2,,,,,,Bryant Free Throw 1 of 2 (1 PTS)
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,2,00:10:53,00:01:07,00:00:00,19,WAS,free throw,,,,,,,2,,2,Thomas Bryant,1,,,made,,Free Throw 2 of 2,,,,,,Bryant Free Throw 2 of 2 (2 PTS)
"=""0021801148""",2018-2019 Regular Season,2019-03-31,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,2,4,00:10:42,00:01:18,00:00:11,20,DEN,shot,Jamal Murray,,,,,,,,,Nikola Jokic,2,,,made,,unknown,2,-20,5,23.0,88.5,Jokic 2' Cutting Layup Shot (4 PTS) (Murray 1 AST)
